school,address,latitude,longitude
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
광진초등학교,서울특별시 광진구 자양로40길 41,37.547771,127.0902816
광장초등학교,서울특별시 광진구 광장로 45,37.5473486,127.1041974
광장초등학교,서울특별시 광진구 광장로1길 1,37.547471,127.1030548
광장초등학교,서울특별시 광진구 광장로3길 2,37.547664,127.1027899
광장초등학교,서울특별시 광진구 광장로 56,37.5473486,127.1041974
성자초등학교,서울특별시 광진구 뚝섬로56길 7,37.5298042,127.0821658
양남초등학교,서울특별시 광진구 뚝섬로64길 71,37.5330439,127.0888302
신양초등학교,서울특별시 광진구 능동로 42,37.5340314,127.0678046
동자초등학교,서울특별시 광진구 뚝섬로 561,37.53347,127.0883
세종초등학교,서울특별시 광진구 군자로 114,37.5433395,127.071636
장안초등학교,서울특별시 광진구 군자로 74,37.5433395,127.071636
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
동의초등학교,서울특별시 광진구 영화사로 111,37.5525116,127.0995989
동의초등학교,서울특별시 광진구 영화사로 105,37.5525116,127.0995989
동의초등학교,서울특별시 광진구 영화사로16길 43,37.5540635,127.0951465
동의초등학교,서울특별시 광진구 영화사로16길 43,37.5540635,127.0951465
동의초등학교,서울특별시 광진구 구의동 6,37.54417,127.09262
동의초등학교,서울특별시 광진구 구의동 5-2,37.54417,127.09262
양진초등학교,서울특별시 광진구 워커힐로 32,37.54326,127.09533
경복초등학교,서울특별시 광진구 천호대로130길 58,37.5495265,127.0878389
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
구남초등학교,서울특별시 광진구 구의강변로 69,37.53552,127.09211
자양초등학교,서울특별시 광진구 아차산로44길 26,37.5364568,127.0796924
광남초등학교,서울특별시 광진구 아차산로70길 35,37.5392797,127.0983829
광남초등학교,서울특별시 광진구 아차산로70길 35,37.5392797,127.0983829
신자초등학교,서울특별시 광진구 뚝섬로46길 64,37.5296862,127.0764756
양진초등학교,서울특별시 광진구 워커힐로 32,37.54326,127.09533
양진초등학교,서울특별시 광진구 워커힐로 32,37.54326,127.09533
성동초등학교,서울특별시 광진구 뚝섬로66길 4,37.5324664,127.0902279
