학원명,주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
예림서예학원,서울특별시 강남구 선릉로 328,37.4990597,127.0519305,10,80.0,0.0,10.0,641.0,37069.0,99.0,59.0,2.0
와이비엠어학원,서울특별시 강남구 강남대로 408,37.4992228,127.0275751,11056,1655.0,0.0,1655.0,142.0,17840.0,134.0,30.0,7.0
신세계음악학원,서울특별시 강남구 삼성로 212,37.4974176,127.0653272,160,80.0,0.0,80.0,443.0,40971.0,64.0,71.0,11.0
압구정뮤직아카데미학원,서울특별시 강남구 언주로172길 12,37.527635,127.0346697,115,61.0,0.0,61.0,190.0,13269.0,89.0,34.0,4.0
심포니음악학원,서울특별시 강남구 학동로 513,37.5199166,127.0538683,28,4.0,0.0,4.0,42.0,1203.0,40.0,58.0,11.0
아름드리음악학원,서울특별시 강남구 강남대로120길 42,37.5076934,127.0267382,160,120.0,0.0,120.0,50.0,2167.0,116.0,18.0,6.0
대치스카이독서실,서울특별시 강남구 도곡로 504,37.4988116,127.0616425,50,105.0,0.0,50.0,742.0,63441.0,80.0,39.0,2.0
신라보석공예학원,서울특별시 강남구 남부순환로 2921,37.4936059,127.0597001,60,60.0,0.0,60.0,324.0,29139.0,44.0,55.0,1.0
아르떼음악학원,서울특별시 강남구 논현로67길 61,37.4927513,127.0349633,55,36.0,0.0,36.0,81.0,7667.0,99.0,76.0,2.0
남서울알리앙스프랑세즈어학원,서울특별시 강남구 강남대로94길 27-15,37.5006646,127.0291099,823,112.0,0.0,112.0,143.0,18430.0,158.0,20.0,10.0
전선진실용음악학원,서울특별시 강남구 삼성로71길 45,37.5011477,127.0553135,120,61.0,0.0,61.0,994.0,71244.0,151.0,61.0,4.0
김이채학원,서울특별시 강남구 남부순환로395길 9,37.4941777,127.0609483,12,172.0,0.0,12.0,335.0,31002.0,48.0,47.0,2.0
동현음악학원,서울특별시 강남구 언주로146길 18,37.5193536,127.0365755,35,72.0,0.0,35.0,39.0,2562.0,84.0,73.0,3.0
대치1관정상어학원,서울특별시 강남구 영동대로 227,37.4994104,127.067582,133,380.0,0.0,133.0,253.0,69042.0,41.0,46.0,15.0
현대피아노조율기술학원,서울특별시 강남구 강남대로152길 23,37.5177075,127.0212312,15,120.0,0.0,15.0,71.0,3281.0,80.0,14.0,5.0
하이든음악학원,서울특별시 강남구 남부순환로363길 49,37.4881978,127.0371153,100,36.0,0.0,36.0,95.0,4394.0,54.0,42.0,4.0
사랑음악학원,서울특별시 강남구 언주로 117,37.4854423,127.0494737,170,69.0,0.0,69.0,34.0,1662.0,27.0,107.0,4.0
진화수학학원,서울특별시 강남구 삼성로58길 39,37.4994486,127.0642747,165,75.0,0.0,75.0,534.0,94598.0,64.0,52.0,10.0
제일정보처리학원,서울특별시 강남구 삼성로 38,37.4886736,127.0668063,307,97.0,0.0,97.0,62.0,1783.0,15.0,100.0,2.0
디와이비최선어학원,서울특별시 강남구 남부순환로 2917,37.4931481,127.0590766,144,796.0,0.0,144.0,244.0,20288.0,43.0,66.0,1.0
상지보습학원,서울특별시 강남구 영동대로128길 15,37.5192819,127.0608234,64,234.0,0.0,64.0,19.0,366.0,21.0,24.0,8.0
비엠아이(BMI-Butterfly Math Institute)수학학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,60,105.0,0.0,60.0,233.0,17702.0,38.0,56.0,2.0
청담수도컴퓨터학원,서울특별시 강남구 도산대로 503,37.5246327,127.0479644,540,30.0,0.0,30.0,24.0,780.0,60.0,32.0,3.0
청송독서실,서울특별시 강남구 양재대로55길 15,37.4918891,127.0874845,50,75.0,0.0,50.0,30.0,454.0,27.0,45.0,2.0
에스모드서울패션디자인학원,서울특별시 강남구 압구정로 106,37.522683,127.0203605,350,711.0,0.0,350.0,125.0,4627.0,70.0,22.0,7.0
문예원웅변학원,서울특별시 강남구 도곡로 509,37.4995866,127.0620542,10,696.0,0.0,10.0,797.0,68662.0,81.0,48.0,11.0
대영이피아이(EPI)학원,서울특별시 강남구 영동대로112길 51,37.5158631,127.0645113,168,168.0,0.0,168.0,10.0,331.0,24.0,54.0,0.0
대치휘튼학원,서울특별시 강남구 삼성로64길 45,37.5009632,127.0639676,11,210.0,0.0,11.0,591.0,98836.0,71.0,64.0,15.0
엔프렙학원,서울특별시 강남구 압구정로 108,37.5229191,127.0205789,36,309.0,0.0,36.0,126.0,4966.0,71.0,22.0,7.0
해법수학해법영어학원,서울특별시 강남구 개포로22길 84,37.4747924,127.0523316,82,55.0,0.0,55.0,35.0,1496.0,29.0,3.0,5.0
21세기수학보습학원,서울특별시 강남구 학동로42길 73,37.5109958,127.037768,24,220.0,0.0,24.0,33.0,1800.0,82.0,34.0,4.0
지엘에스굿모닝영어영문학박사학원,서울특별시 강남구 선릉로 344,37.5005034,127.0512048,150,81.0,0.0,81.0,565.0,31738.0,131.0,56.0,3.0
토탈에듀예일보습학원,서울특별시 강남구 영동대로57길 28,37.4998959,127.0652973,25,240.0,0.0,25.0,413.0,84145.0,57.0,43.0,10.0
스터디플래닛대치2센터독서실,서울특별시 강남구 삼성로58길 29,37.4992421,127.0635885,112,111.0,0.0,111.0,616.0,103994.0,69.0,58.0,11.0
수서정상어학원,서울특별시 강남구 밤고개로 219,37.4747226,127.1070295,204,232.0,0.0,204.0,11.0,484.0,30.0,53.0,5.0
논현탑클래스학원,서울특별시 강남구 학동로6길 51,37.5093446,127.0266642,20,240.0,0.0,20.0,46.0,1886.0,109.0,25.0,10.0
라도라음악학원,서울특별시 강남구 영동대로57길 28,37.4998959,127.0652973,58,48.0,0.0,48.0,413.0,84122.0,57.0,43.0,10.0
양인석스피치칼리지학원,서울특별시 강남구 선릉로6길 19,37.4833391,127.0624277,15,180.0,0.0,15.0,37.0,1755.0,13.0,58.0,1.0
정철어학원,서울특별시 강남구 강남대로 456,37.5031806,127.0256302,394,231.0,0.0,231.0,73.0,7970.0,91.0,20.0,10.0
이씨씨대치어학학원,서울특별시 강남구 역삼로 442,37.5018274,127.0554252,120,287.0,0.0,120.0,882.0,56543.0,143.0,54.0,4.0
역삼시사일본어학원,서울특별시 강남구 테헤란로4길 28,37.4965132,127.0300705,1275,351.0,0.0,351.0,162.0,21155.0,134.0,52.0,6.0
청담미술학원,서울특별시 강남구 선릉로 712,37.5184763,127.0410422,30,67.0,0.0,30.0,97.0,4497.0,81.0,39.0,2.0
도화선한국화미술학원,서울특별시 강남구 선릉로86길 6-3,37.5029364,127.0505584,60,67.0,0.0,60.0,337.0,19497.0,152.0,59.0,4.0
유형액세서리학원,서울특별시 강남구 논현로175길 11,37.5259382,127.0275871,90,66.0,0.0,66.0,296.0,17624.0,108.0,33.0,4.0
제이씨앤씨정원미술학원,서울특별시 강남구 도산대로25길 37,37.5219551,127.0261133,20,52.0,0.0,20.0,260.0,12897.0,143.0,42.0,8.0
창조음악학원,서울특별시 강남구 개포로22길 49,37.4761963,127.0501748,45,66.0,0.0,45.0,52.0,2256.0,49.0,15.0,2.0
강남라이즈어학원,서울특별시 강남구 도곡로37길 5,37.4941563,127.0446536,308,240.0,0.0,240.0,32.0,1971.0,42.0,63.0,4.0
강남에스엘피어학학원,서울특별시 강남구 개포로 626,37.4940137,127.0813904,40,277.0,0.0,40.0,49.0,1436.0,39.0,89.0,2.0
한빛변리사학원,서울특별시 강남구 논현로95길 29-14,37.5011312,127.0339046,3260,960.0,0.0,960.0,98.0,11191.0,177.0,31.0,4.0
수학전문강남수학원,서울특별시 강남구 일원로5길 51,37.4922506,127.0843017,58,71.0,0.0,58.0,42.0,1026.0,45.0,81.0,3.0
대은제이에스에이과학전문보습학원,서울특별시 강남구 선릉로 42,37.4833383,127.0601198,75,60.0,0.0,60.0,42.0,1735.0,12.0,51.0,1.0
G1(지원)미술학원,서울특별시 강남구 역삼로 315,37.5005462,127.0503306,320,211.0,0.0,211.0,503.0,28127.0,121.0,57.0,2.0
강남대성학원,서울특별시 강남구 테헤란로4길 39,37.4958912,127.0310161,2648,1679.0,0.0,1679.0,150.0,18260.0,142.0,61.0,5.0
대치나인에듀학원,서울특별시 강남구 삼성로 221,37.4967029,127.061731,750,124.0,0.0,124.0,712.0,63569.0,91.0,51.0,2.0
