학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
생명을살리는수학창의교육보습학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,24,85.0,24.0,221.0,11724.0,188.0,124.0,4.0
시엘음악학원,서울특별시 광진구 용마산로21길 27,37.5634854,127.0859389,40,63.0,40.0,46.0,2822.0,73.0,79.0,12.0
성신에듀학원,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,255,53.0,53.0,47.0,2527.0,83.0,53.0,17.0
청람보습학원,서울특별시 광진구 용마산로 100,37.5626083,127.087319,90,90.0,90.0,42.0,2699.0,45.0,77.0,14.0
상명보습학원,서울특별시 광진구 자양로 181-1,37.543898,127.0845631,59,115.0,59.0,44.0,1553.0,62.0,12.0,12.0
위너스아카데미학원,서울특별시 광진구 뚝섬로64길 42,37.5317302,127.0888652,24,40.0,24.0,20.0,815.0,111.0,61.0,4.0
창조의아침미술학원,서울특별시 광진구 천호대로 566,37.5563402,127.0806204,5495,111.0,111.0,67.0,2006.0,67.0,76.0,45.0
성지미술학원,서울특별시 광진구 자양로50길 17,37.5521757,127.0933669,20,82.0,20.0,40.0,2073.0,88.0,84.0,24.0
가람음악학원,서울특별시 광진구 뚝섬로36길 15,37.533733,127.0714588,480,54.0,54.0,108.0,4344.0,140.0,59.0,6.0
한일컴퓨터학원,서울특별시 광진구 용마산로 93,37.5619087,127.0870137,632,47.0,47.0,46.0,2787.0,46.0,69.0,14.0
조이학원,서울특별시 광진구 면목로 137,37.5656602,127.0808767,40,77.0,40.0,26.0,1017.0,84.0,89.0,30.0
대진독서실,서울특별시 광진구 면목로 155,37.5673131,127.0817901,192,96.0,96.0,27.0,731.0,79.0,96.0,24.0
구의음악학원,서울특별시 광진구 자양로41길 7,37.5497219,127.0898572,180,12.0,12.0,50.0,2020.0,80.0,59.0,22.0
포레음악학원,서울특별시 광진구 자양로13길 61,37.5337338,127.0814398,165,53.0,53.0,68.0,3335.0,80.0,80.0,9.0
신글로리음악학원,서울특별시 광진구 자양로 294,37.5517515,127.0923627,80,11.0,11.0,48.0,2296.0,94.0,80.0,24.0
