학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
마들단디독서실,서울특별시 노원구 동일로227길 26,37.6687829,127.0537253,167,167,0.0,167.0,65.0,3132.0,24.0,35.0,5.0
청우어학원,서울특별시 노원구 동일로 1368,37.6507502,127.0619389,90,147,0.0,90.0,94.0,8824.0,70.0,40.0,5.0
경희로맨틱발레(Romanticballet)무용학원,서울특별시 노원구 동일로 1393,37.6529411,127.0605151,60,99,0.0,60.0,94.0,10192.0,88.0,69.0,4.0
중계새롬보습학원,서울특별시 노원구 중계로 8길 29,37.6459851,127.0826402,55,105,0.0,55.0,51.0,2339.0,19.0,23.0,0.0
한샘영재보습학원,서울특별시 노원구 섬밭로 209,37.6354449,127.0642439,50,85,0.0,50.0,46.0,2667.0,28.0,64.0,6.0
리틀비음악학원,서울특별시 노원구 동일로227길 26,37.6687829,127.0537253,57,45,0.0,45.0,65.0,3254.0,24.0,35.0,5.0
중앙키즈팝음악학원,서울특별시 노원구 동일로216길 70,37.6521365,127.0654852,60,19,0.0,19.0,84.0,16620.0,73.0,63.0,4.0
세화음악학원,서울특별시 노원구 섬밭로 209,37.6354449,127.0642439,36,54,0.0,36.0,46.0,2681.0,28.0,64.0,6.0
예쁜소리음악학원,서울특별시 노원구 동일로 1456,37.6588173,127.0604508,90,21,0.0,21.0,76.0,14426.0,56.0,77.0,5.0
카라얀음악학원,서울특별시 노원구 한글비석로 460,37.66447,127.0669577,406,54,0.0,54.0,69.0,2667.0,40.0,43.0,4.0
중앙음악학원,서울특별시 노원구 덕릉로 459-47,37.6472467,127.0595377,90,22,0.0,22.0,50.0,2233.0,21.0,36.0,5.0
클릭전원미술학원,서울특별시 노원구 동일로 1354,37.6495588,127.062273,400,134,0.0,134.0,73.0,5689.0,40.0,23.0,5.0
숙명피아노학원,서울특별시 노원구 광운로 43,37.6213249,127.0590216,3,54,0.0,3.0,23.0,668.0,34.0,36.0,5.0
SMMA음악학원,서울특별시 노원구 섬밭로 232,37.6368495,127.0663824,19,118,0.0,19.0,51.0,2928.0,44.0,89.0,6.0
동명피아노학원,서울특별시 노원구 동일로228길 29,37.6678103,127.0587367,32,20,0.0,20.0,86.0,4216.0,29.0,63.0,5.0
보람음악학원,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,16,150,0.0,16.0,66.0,2635.0,33.0,50.0,2.0
보람웅변학원,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,90,120,0.0,90.0,66.0,2561.0,33.0,50.0,2.0
맑은샘상계음악학원,서울특별시 노원구 노원로 547,37.6607248,127.0569722,22,114,0.0,22.0,61.0,1680.0,11.0,65.0,4.0
