,학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
1,크레버스영재교육센터광진제1지점학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,100,120.0,100.0,214.0,11565.0,186.0,98.0,2.0
8,자양심슨어학학원,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,900,296.0,296.0,109.0,4106.0,152.0,59.0,7.0
10,올림픽심슨어학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,480,164.0,164.0,214.0,11501.0,186.0,98.0,2.0
11,시매쓰수학학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,120,102.0,102.0,108.0,4296.0,150.0,62.0,6.0
15,고릴라크루댄스학원,서울특별시 광진구 구의로 6,37.538514,127.0893773,180,100.0,100.0,63.0,2815.0,188.0,90.0,8.0
20,명문고려보습학원,서울특별시 광진구 능동로 372,37.56239670000001,127.0826701,855,118.0,118.0,66.0,2944.0,88.0,95.0,13.0
24,광진구주이배수학보습학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,170,296.0,170.0,214.0,11495.0,186.0,98.0,2.0
25,153수학학원,서울특별시 광진구 광나루로54길 32,37.5394662,127.0951348,168,139.0,139.0,221.0,11609.0,189.0,118.0,4.0
26,광진구주이배고등관학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,100,190.0,100.0,214.0,11565.0,186.0,98.0,2.0
27,이튼클래스보습학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,550,145.0,145.0,86.0,3144.0,174.0,53.0,7.0
31,수좌보습학원,서울특별시 광진구 광나루로 580,37.5432411,127.0932438,445,117.0,117.0,176.0,10762.0,98.0,82.0,6.0
