,Unnamed: 0,학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계
0,0,생명을살리는수학창의교육보습학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,24,85.0
1,1,시엘음악학원,서울특별시 광진구 용마산로21길 27,37.5634854,127.0859389,40,63.0
2,2,성신에듀학원,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,255,53.0
3,3,청람보습학원,서울특별시 광진구 용마산로 100,37.5626083,127.087319,90,90.0
4,4,상명보습학원,서울특별시 광진구 자양로 181-1,37.543898,127.0845631,59,115.0
5,5,위너스아카데미학원,서울특별시 광진구 뚝섬로64길 42,37.5317302,127.0888652,24,40.0
6,6,창조의아침미술학원,서울특별시 광진구 천호대로 566,37.5563402,127.0806204,5495,111.0
7,7,성지미술학원,서울특별시 광진구 자양로50길 17,37.5521757,127.0933669,20,82.0
8,8,가람음악학원,서울특별시 광진구 뚝섬로36길 15,37.533733,127.0714588,480,54.0
9,9,한일컴퓨터학원,서울특별시 광진구 용마산로 93,37.5619087,127.0870137,632,47.0
10,10,조이학원,서울특별시 광진구 면목로 137,37.5656602,127.0808767,40,77.0
11,11,대진독서실,서울특별시 광진구 면목로 155,37.5673131,127.0817901,192,96.0
12,12,구의음악학원,서울특별시 광진구 자양로41길 7,37.5497219,127.0898572,180,12.0
13,13,포레음악학원,서울특별시 광진구 자양로13길 61,37.5337338,127.0814398,165,53.0
14,14,신글로리음악학원,서울특별시 광진구 자양로 294,37.5517515,127.0923627,80,11.0
15,15,자매음악학원,서울특별시 광진구 동일로24길 13,37.5439693,127.0660367,35,22.0
16,16,동부대일보습학원,서울특별시 광진구 영화사로 32,37.5567329,127.0903676,408,120.0
17,17,강북전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,540,114.0
18,18,서울필음악학원,서울특별시 광진구 뚝섬로 587,37.5335228,127.0754315,66,13.0
19,19,예원음악학원,서울특별시 광진구 자양로 282-1,37.5509934,127.0917623,84,12.0
20,20,포일스독서실,서울특별시 광진구 아차산로 623,37.548496,127.106796,352,176.0
21,21,스터디뱅크독서실,서울특별시 광진구 뚝섬로33길 45,37.5370226,127.0700899,553,79.0
22,22,군자스터디뱅크독서실,서울특별시 광진구 군자로 100,37.5519103,127.0714764,128,128.0
23,23,지니음악학원,서울특별시 광진구 영화사로 29-1,37.5570335,127.0905629,90,34.0
24,24,유니버설발레학원,서울특별시 광진구 천호대로 670,37.55104770000001,127.0895364,165,95.0
25,25,엘림보습학원,서울특별시 광진구 천호대로 616,37.5543504,127.0857568,23,50.0
26,26,GMstudy학원,서울특별시 광진구 아차산로 494,37.541154,127.0967128,42,75.0
27,27,서울학원,서울특별시 광진구 자양로42길 2,37.5493218,127.0904011,156,248.0
28,28,전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,552,43.0
29,29,유니크(Unique)보습학원,서울특별시 광진구 뚝섬로 590,37.5331067,127.0752992,330,150.0
30,30,위드스카이학원,서울특별시 광진구 뚝섬로56길 21,37.5304977,127.0827277,65292,70.0
31,31,올림피아드보습학원,서울특별시 광진구 아차산로 376,37.5364443,127.0844799,504,299.0
32,32,광개토아카데미보습학원,서울특별시 광진구 용마산로 114,37.5638778,127.0871117,320,84.0
33,33,성심보습학원,서울특별시 광진구 능동로13길 102,37.5460087,127.0682278,279,70.0
34,34,이드미술학원,서울특별시 광진구 아차산로 191,37.5420462,127.0651456,360,50.0
35,35,공신보습학원,서울특별시 광진구 동일로 274,37.5557399,127.0719634,134,93.0
36,36,한국보습학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,440,100.0
37,37,진학학원,서울특별시 광진구 군자로 138,37.553954,127.0746597,165,119.0
38,38,혜민병원부설간호조무사학원,서울특별시 광진구 자양로 81,37.5350613,127.0838543,285,95.0
39,39,탑(Top)고려보습학원,서울특별시 광진구 능동로 373,37.5627248,127.0822682,840,169.0
40,40,서울관악보습학원,서울특별시 광진구 아차산로 635,37.55052450000001,127.1065516,65,45.0
41,41,해강학원,서울특별시 광진구 광나루로 621,37.5407819,127.0967829,18,74.0
42,42,가주수학학원,서울특별시 광진구 자양번영로 26,37.5319521,127.0755506,190,169.0
43,43,서울제과제빵조리학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,531,177.0
44,44,청운독서실,서울특별시 광진구 자양로26길 31,37.5415764,127.0857397,90,90.0
45,45,스터디엔카페건대입구센터독서실,서울특별시 광진구 능동로 49,37.5358139,127.0683342,110,97.0
46,46,퍼스트요리아카데미건대점학원,서울특별시 광진구 아차산로 238,37.53998,127.0695528,470,216.0
47,47,새이화음악학원,서울특별시 광진구 군자로 138,37.553954,127.0746597,75,12.0
48,48,집중스터디카페앤독서실,서울특별시 광진구 아차산로70길 22,37.5420899,127.1013675,2208,138.0
49,49,중앙보습학원,서울특별시 광진구 영화사로 34,37.55659010000001,127.0905058,80,91.0
50,50,이엠보습학원,서울특별시 광진구 영화사로 59-1,37.5552465,127.0931079,54,60.0
51,51,씨원수학학원,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,50,72.0
52,52,하이스트자양보습학원,서울특별시 광진구 뚝섬로 587,37.5335228,127.0754315,771,100.0
53,53,에페슈즈앤백디자인학원,서울특별시 광진구 아차산로 187,37.5423197,127.0646508,177,59.0
54,54,J.B음악학원,서울특별시 광진구 뚝섬로 489,37.5364865,127.0648626,295,80.0
55,55,샤인영어학원,서울특별시 광진구 아차산로65길 14,37.5410475,127.0940895,106,136.0
56,56,비젼아카데미보습학원,서울특별시 광진구 군자로 80,37.5502628,127.0711262,360,62.0
57,57,와이즈만영재보습학원,서울특별시 광진구 광나루로 556,37.5442671,127.0911709,144,173.0
58,58,최고수보습학원,서울특별시 광진구 아차산로 621,37.5484962,127.1072266,290,88.0
59,59,대치동에듀케이션보습학원,서울특별시 광진구 긴고랑로13길 47,37.5645849,127.0826232,72,72.0
60,60,한국사관보습학원,서울특별시 광진구 용마산로24길 6,37.5651108,127.0871832,115,96.0
61,61,YBM잉글루자양제1학습관보습학원,서울특별시 광진구 뚝섬로36길 15,37.533733,127.0714588,145,58.0
62,62,올림피아드영재센터보습학원,서울특별시 광진구 자양로 90,37.5358295,127.084207,790,136.0
63,63,제스트영수학원,서울특별시 광진구 광나루로 588,37.5426814,127.0938172,25,77.0
64,64,피아노리음악교습소,서울특별시 광진구 아차산로55길 43-1,37.5393809,127.0863237,45,6.0
65,65,신연세보습학원,서울특별시 광진구 자양로 294-1,37.5518417,127.0924505,60,70.0
66,66,애니벅스미술학원,서울특별시 광진구 능동로 161,37.5452955,127.0727509,720,66.0
67,67,엘림피아노교습소,서울특별시 광진구 아차산로21길 50,37.5440955,127.0661041,9,3.0
68,68,잉글리쉬무무자양보습학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,740,45.0
69,69,HK수학교습소,서울특별시 광진구 구의강변로 45,37.5349817,127.0912558,24,8.0
70,70,최용훈국어광진광장학원,서울특별시 광진구 광나루로54길 6,37.5405539,127.0958609,57,74.0
71,71,더노엠워커힐어학학원,서울특별시 광진구 아차산로 623,37.548496,127.106796,132,90.0
72,72,메아리음악교습소,서울특별시 광진구 아차산로44길 36,37.5364604,127.0789832,25,5.0
73,73,이화이레음악학원,서울특별시 광진구 동일로72길 46,37.5653083,127.0799294,540,13.0
74,74,한양음악학원,서울특별시 광진구 아차산로 503,37.5425096,127.0977483,153,15.0
75,75,엠플러스광진학원,서울특별시 광진구 아차산로 494,37.541154,127.0967128,80,123.0
76,76,THN최상위영수학원,서울특별시 광진구 자양로 186,37.5440106,127.0851259,90,100.0
77,77,음악천사피아노교습소,서울특별시 광진구 광나루로40길 93,37.5405466,127.0887217,30,5.0
78,78,에듀프라임학원,서울특별시 광진구 영화사로 64-1,37.5547344,127.0932663,468,91.0
79,79,우리들학원,서울특별시 광진구 용마산로 96,37.5623037,127.0873816,48,96.0
80,80,베스트최현숙학원,서울특별시 광진구 광나루로 620,37.5407033,127.0960559,106,126.0
81,81,피아주르음악교습소,서울특별시 광진구 동일로56길 38,37.5555332,127.0740922,25,7.0
82,82,하모니음악교습소,서울특별시 광진구 구의로16길 68,37.5422944,127.0934762,25,5.0
83,83,수피아노교습소,서울특별시 광진구 뚝섬로36가길 8,37.5321307,127.0710209,2,2.0
84,84,아르떼피아노교습소,서울특별시 광진구 천호대로129길 48,37.5535568,127.0919635,50,5.0
85,85,이화멜로디음악교습소,서울특별시 광진구 뚝섬로56가길 13,37.5285792,127.0834469,40,9.0
86,86,위드맴버스학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,100,76.0
87,87,TOP명문보습학원,서울특별시 광진구 뚝섬로 657,37.5316633,127.0826361,235,136.0
88,88,더상승플러스학원,서울특별시 광진구 용마산로 112,37.5636979,127.087144,200,113.0
89,89,구의감각학원,서울특별시 광진구 자양로 162,37.5421002,127.0842633,215,96.0
90,90,세움수학교습소,서울특별시 광진구 능동로13길 70-1,37.544865,127.0692173,50,5.0
91,91,헬리오수학교습소,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,4,2.0
92,92,명장보습학원,서울특별시 광진구 자양번영로 42,37.5333293,127.0759792,589,81.0
93,93,유니센스일대일영어통역학원,서울특별시 광진구 능동로 333,37.5593981,127.0804083,11,76.0
94,94,강한수학교습소,서울특별시 광진구 구의강변로 96,37.5384981,127.0946643,27,9.0
95,95,브레인학원,서울특별시 광진구 능동로47길 7,37.5629294,127.0821809,528,70.0
96,96,참조은예일보습학원,서울특별시 광진구 광나루로 531,37.54512649999999,127.088676,259,15.0
97,97,JLS일본어교습소,서울특별시 광진구 아차산로 498,37.5412812,127.0968001,6,3.0
98,98,모노아트미술교습소,서울특별시 광진구 광나루로 635,37.5406205,127.0986045,24,8.0
99,99,표현영어학원,서울특별시 광진구 구의로16길 93,37.5414759,127.0945981,30,75.0
100,100,뿌리깊은수학나무보습학원,서울특별시 광진구 구의로16길 91,37.5415644,127.0945118,50,66.0
101,101,바스키즈미술학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,71,59.0
102,102,써니이스턴(Sunny EST)영어학원,서울특별시 광진구 자양로 160,37.5418772,127.0842465,45,77.0
103,103,아트센터173미술교습소,서울특별시 광진구 천호대로117길 62,37.5576523,127.0853206,9,3.0
104,104,삼성음악교습소,서울특별시 광진구 아차산로70길 17-17,37.5414998,127.1032682,25,9.0
105,105,경희제일피아노음악교습소,서울특별시 광진구 광나루로30길 35,37.5436828,127.0817666,55,5.0
106,106,뉴프라임피아노교습소,서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212,4,2.0
107,107,구의이화음악교습소,서울특별시 광진구 아차산로59길 42,37.5402908,127.0908091,50,5.0
108,108,유토피아수학교습소,서울특별시 광진구 군자로12길 16,37.5510068,127.0719873,35,5.0
109,109,한국가야금교습소,서울특별시 광진구 능동로19길 35,37.5470672,127.071841,27,9.0
110,110,라라피아노교습소,서울특별시 광진구 자양번영로11길 35-10,37.5369922,127.0745209,18,1.0
111,111,이미선음악교습소,서울특별시 광진구 자양번영로1길 23,37.5307087,127.0735819,30,9.0
112,112,예림피아노교습소,서울특별시 광진구 광나루로38길 73,37.54160150000001,127.0873097,20,5.0
113,113,비인피아노교습소,서울특별시 광진구 자양로4나길 47,37.530536,127.0888448,2,5.0
114,114,디지털컴퓨터교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,50,5.0
115,115,명성피아노교습소,서울특별시 광진구 뚝섬로32길 4,37.5353741,127.0672602,15,5.0
116,116,린음악교습소,서울특별시 광진구 자양로13길 87-1,37.5328441,127.0803767,65,5.0
117,117,모짜르트음악교습소,서울특별시 광진구 뚝섬로32길 23,37.5344676,127.0670898,15,5.0
