지역구,발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,경도,위도
강남구,2012,야,일,1,1,0,0,0,127.05085267,37.50051332
강남구,2012,주,금,1,1,0,0,0,127.03308793,37.48639224
강남구,2012,주,월,1,1,0,0,0,127.06521974,37.50459615
강남구,2012,주,토,1,1,0,0,0,127.06744721,37.50091776
강남구,2012,야,화,1,4,2,0,1,127.06514815,37.50523585
강남구,2012,야,화,1,1,0,0,0,127.04039514,37.50668346
강남구,2012,야,일,1,1,0,0,0,127.05590603,37.522156
강남구,2012,야,화,1,4,1,2,0,127.04150143,37.50524558
강남구,2012,야,일,1,4,1,2,0,127.0214053,37.5108985
강남구,2013,야,목,1,3,1,1,0,127.02291407,37.52984208
강남구,2013,야,화,1,2,0,1,0,127.04829697,37.51159028
강남구,2012,야,수,1,1,0,0,0,127.05242269,37.48956775
강남구,2012,주,월,1,1,0,0,0,127.04406957,37.49969414
강남구,2013,주,월,1,2,1,0,0,127.06490298,37.47923969
강남구,2013,야,화,1,2,1,0,0,127.05545545,37.4740938
강남구,2013,주,수,1,1,0,0,0,127.06034088,37.48379271
강남구,2012,야,수,1,1,0,0,0,127.03263995,37.48749013
강남구,2013,야,목,1,1,0,0,0,127.01702857,37.52285069
강남구,2013,야,수,1,1,0,0,0,127.02959662,37.51642968
강남구,2013,주,금,1,1,0,0,0,127.02185215,37.51002599
강남구,2012,야,목,1,1,0,0,0,127.01993271,37.51468724
강남구,2012,주,금,1,1,0,0,0,127.03546597,37.52613347
강남구,2012,야,토,1,4,2,1,0,127.06924181,37.5036284
강남구,2012,야,월,1,1,0,0,0,127.08686835,37.49346993
강남구,2012,주,수,1,4,1,1,1,127.05966964,37.50757711
강남구,2012,야,금,1,1,0,0,0,127.07390801,37.48883597
강남구,2014,야,목,1,1,0,0,0,127.03695551,37.51035657
강남구,2014,주,토,1,2,1,0,0,127.04362711,37.51104954
강남구,2013,야,일,1,1,0,0,0,127.01740643,37.51865192
강남구,2013,야,월,1,1,0,0,0,127.02757414,37.53388987
강남구,2012,야,일,1,1,0,0,0,127.06596672,37.48891522
강남구,2012,야,금,1,1,0,0,0,127.02674847,37.49975221
강남구,2013,야,화,1,1,0,0,0,127.09234425,37.46419463
강남구,2013,야,토,2,2,0,0,0,127.02812471,37.5275249
강남구,2013,야,화,1,1,0,0,0,127.10023322,37.48830604
강남구,2013,야,목,1,1,0,0,0,127.04330584,37.48168561
강남구,2012,주,일,1,1,0,0,0,127.09551543,37.4653773
강남구,2014,야,목,1,1,0,0,0,127.0210381,37.51187679
강남구,2013,야,금,1,1,0,0,0,127.10026682,37.48836925
강남구,2012,야,수,1,3,2,0,0,127.05723565,37.52504533
강남구,2013,야,토,1,3,0,2,0,127.0584179,37.47612396
강남구,2013,주,일,1,1,0,0,0,127.02110763,37.51675611
강남구,2013,야,수,1,1,0,0,0,127.02345832,37.50655325
강남구,2012,야,목,1,1,0,0,0,127.03008117,37.52036152
강남구,2013,주,금,1,1,0,0,0,127.0535602,37.48090095
강남구,2012,야,수,1,1,0,0,0,127.06244527,37.47787857
강남구,2013,주,수,1,6,5,0,0,127.07522458,37.49804361
강남구,2013,야,금,2,2,0,0,0,127.05157284,37.51251314
강남구,2013,야,월,1,1,0,0,0,127.0563897,37.52074269
강남구,2014,주,일,1,1,0,0,0,127.10697277,37.47274497
강남구,2013,주,금,1,1,0,0,0,127.01751013,37.5218792
