노드링크 유형,시군구명,읍면동명,경도,위도
NODE,강남구,대치동,127.05594069,37.48963418
NODE,강남구,대치동,127.05829588,37.492057198
NODE,강남구,대치동,127.06522612,37.505736814
NODE,강남구,대치동,127.06295134,37.494657471
NODE,강남구,대치동,127.06494453,37.505663736
LINK,강남구,대치동,127.05278159,37.496532776
NODE,강남구,대치동,127.06358012,37.494369348
NODE,강남구,대치동,127.06337364,37.494753937
NODE,강남구,대치동,127.05110159,37.50071837
NODE,강남구,대치동,127.06339095,37.494836316
LINK,강남구,대치동,127.06553461,37.505362465
NODE,강남구,대치동,127.05614769,37.506705531
NODE,강남구,대치동,127.0627599,37.495852772
LINK,강남구,대치동,127.06533007,37.504899333
NODE,강남구,대치동,127.0573014,37.489007965
NODE,강남구,대치동,127.05874658,37.498034686
LINK,강남구,대치동,127.07021065,37.496577841
NODE,강남구,대치동,127.06503058,37.505505778
NODE,강남구,대치동,127.0499138,37.502854099
NODE,강남구,대치동,127.06896223,37.491993833
NODE,강남구,대치동,127.06536,37.50484
LINK,강남구,대치동,127.05853913,37.503284749
LINK,강남구,대치동,127.06498756,37.505584757
LINK,강남구,대치동,127.05310603,37.49635069
NODE,강남구,대치동,127.06561637,37.505235405
NODE,강남구,대치동,127.06559611,37.505063775
NODE,강남구,대치동,127.06467714,37.505393833
NODE,강남구,대치동,127.0647172,37.505215304
LINK,강남구,대치동,127.06488135,37.49071632
LINK,강남구,대치동,127.06206059,37.504221209
NODE,강남구,대치동,127.06468575,37.492206799
NODE,강남구,대치동,127.06425481,37.492065144
NODE,강남구,대치동,127.06151944,37.490196847
NODE,강남구,대치동,127.06206234,37.490274374
NODE,강남구,대치동,127.06339502,37.490305707
NODE,강남구,대치동,127.06464519,37.491243338
NODE,강남구,대치동,127.06509344,37.491467371
LINK,강남구,대치동,127.05842227,37.503035404
NODE,강남구,대치동,127.07028661,37.496408442
NODE,강남구,대치동,127.07013469,37.496747239
NODE,강남구,대치동,127.06957156,37.496585085
NODE,강남구,대치동,127.05648943,37.506542881
LINK,강남구,대치동,127.05567463,37.491048636
NODE,강남구,대치동,127.05872334,37.503348688
NODE,강남구,대치동,127.05886914,37.503261749
NODE,강남구,대치동,127.06972631,37.496207381
NODE,강남구,대치동,127.06546567,37.490700498
NODE,강남구,대치동,127.06613787,37.490835149
NODE,강남구,대치동,127.05543639,37.491250141
LINK,강남구,대치동,127.06525659,37.491207009
LINK,강남구,대치동,127.06332872,37.494273078
NODE,강남구,대치동,127.05963947,37.492680731
NODE,강남구,대치동,127.07618313,37.498163417
NODE,강남구,대치동,127.06098449,37.493705319
LINK,강남구,대치동,127.06611638,37.490902673
NODE,강남구,대치동,127.06545285,37.505489525
LINK,강남구,대치동,127.06207951,37.490204564
NODE,강남구,대치동,127.07609733,37.498527352
NODE,강남구,대치동,127.06502089,37.490604624
NODE,강남구,대치동,127.05939844,37.492978365
NODE,강남구,대치동,127.06337504,37.490452185
NODE,강남구,대치동,127.06119678,37.493389388
NODE,강남구,대치동,127.06082333,37.498630948
NODE,강남구,대치동,127.06059384,37.498994946
LINK,강남구,대치동,127.06508533,37.505700275
NODE,강남구,대치동,127.06108514,37.499136584
NODE,강남구,대치동,127.05902646,37.498409869
LINK,강남구,대치동,127.06447028,37.492135971
NODE,강남구,대치동,127.0667564,37.495752149
NODE,강남구,대치동,127.06885319,37.492108324
