지역구,시설명,도로명주소,경도,위도
노원구,중계미래탐구초등연재센터학원,서울시 노원구 한글비석로 232,37.6483769,127.0769291
노원구,중계덕스어학원,서울시 노원구 한글비석로 272,37.6517354,127.0775931
노원구,아발론랭콘중계어학원,서울시 노원구 한글비석로 250,37.6499887,127.0770075
노원구,하이레벨수학전문학원,서울시 노원구 중계로 198,37.6519314,127.0795434
노원구,소마사고력수학학원,서울시 노원구 한글비석로 232,37.6483769,127.0769291
노원구,청담어학원,서울시 노원구 중계로 218,37.6508704,127.0760059
노원구,중계스텔라어학원,서울시 노원구 한글비석로 232,37.6483769,127.0769291
노원구,국풍2000학원,서울시 노원구 중계로 202,37.6508676,127.077805
노원구,올림피아드영재센터학원,서울시 노원구 한글비석로 270,37.6515579,127.077432
노원구,모멘텀아스트라학원,서울시 노원구 한글비석로 231,37.6482011,127.0762923
노원구,알로곤영재센터학원,서울시 노원구 중계로 218,37.6508704,127.0760059
노원구,하이레벨수학전문학원,서울시 노원구 중계로 198,37.6519314,127.0795434
노원구,멘처스학원,서울시 노원구 중계로 206,37.6508711,127.077531
노원구,중계세일입시학원,서울시 노원구 중계로 206,37.6508711,127.077531
노원구,CMS중계중등영재2관학원,서울시 노원구 중계로 225,37.6498272,127.0743318
노원구,수학에미친사람들중계관학원,서울시 노원구 중계로 219,37.6504923,127.0756701
강남구,강남최강학원,서울시 강남구 삼성로 341,37.5019016,127.0589304
강남구,새움학원,서울시 강남구 도곡로73길 5,37.4982237,127.0574317
강남구,시대인재15학원,서울시 강남구 도곡로 505,37.4995633,127.0616676
강남구,시대인재2관학원,서울시 강남구 도곡로 510,37.4989119,127.0619546
강남구,시대인재98학원,서울시 강남구 도곡로 434,37.4976364,127.0579549
강남구,시대인재99학원,서울시 강남구 도곡로 428,37.4974416,127.0573512
강남구,시대인재학원,서울시 강남구 도곡로 460,37.4983942,127.0606446
강남구,신어지은마학원,서울시 강남구 삼성로 212,37.4974176,127.0653272
강남구,씨앤씨미술학원,서울시 강남구 도곡로 323,37.4960774,127.0513435
강남구,프라임스템경원학원,서울시 강남구 도곡로 323,37.4960774,127.0513435
강남구,한티매쓰학원,서울시 강남구 도곡로 423,37.497826,127.0567677
강남구,소마대치본원,서울시 강남구 삼성로 314,37.5000352,127.0606496
강남구,씨엔에이논술,서울시 강남구 도곡로 450,37.4981124,127.0597594
강남구,미래탐구학원,서울시 강남구 도곡로 434,37.4976364,127.0579549
강남구,짱솔학원,서울시 강남구 남부순환로 2935,37.4940247,127.0613442
강남구,파르테논어학원,서울시 강남구 삼성로 155,37.4938284,127.062941
