학원명,주소,Latitude,Longitude,정원합계,일시수용능력인원합계
예림서예학원,서울특별시 강남구 선릉로 328,37.4990597,127.0519305,10,80
와이비엠어학원,서울특별시 강남구 강남대로 408,37.4992228,127.0275751,11056,1655
신세계음악학원,서울특별시 강남구 삼성로 212,37.4974176,127.0653272,160,80
압구정뮤직아카데미학원,서울특별시 강남구 언주로172길 12,37.527635,127.0346697,115,61
심포니음악학원,서울특별시 강남구 학동로 513,37.5199166,127.0538683,28,4
아름드리음악학원,서울특별시 강남구 강남대로120길 42,37.5076934,127.0267382,160,120
대치스카이독서실,서울특별시 강남구 도곡로 504,37.4988116,127.0616425,50,105
신라보석공예학원,서울특별시 강남구 남부순환로 2921,37.4936059,127.0597001,60,60
아르떼음악학원,서울특별시 강남구 논현로67길 61,37.4927513,127.0349633,55,36
남서울알리앙스프랑세즈어학원,서울특별시 강남구 강남대로94길 27-15,37.5006646,127.0291099,823,112
전선진실용음악학원,서울특별시 강남구 삼성로71길 45,37.5011477,127.0553135,120,61
김이채학원,서울특별시 강남구 남부순환로395길 9,37.4941777,127.0609483,12,172
동현음악학원,서울특별시 강남구 언주로146길 18,37.5193536,127.0365755,35,72
대치1관정상어학원,서울특별시 강남구 영동대로 227,37.4994104,127.067582,133,380
현대피아노조율기술학원,서울특별시 강남구 강남대로152길 23,37.5177075,127.0212312,15,120
하이든음악학원,서울특별시 강남구 남부순환로363길 49,37.4881978,127.0371153,100,36
사랑음악학원,서울특별시 강남구 언주로 117,37.4854423,127.0494737,170,69
진화수학학원,서울특별시 강남구 삼성로58길 39,37.4994486,127.0642747,165,75
제일정보처리학원,서울특별시 강남구 삼성로 38,37.4886736,127.0668063,307,97
디와이비최선어학원,서울특별시 강남구 남부순환로 2917,37.4931481,127.0590766,144,796
상지보습학원,서울특별시 강남구 영동대로128길 15,37.5192819,127.0608234,64,234
비엠아이(BMI-Butterfly Math Institute)수학학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,60,105
청담수도컴퓨터학원,서울특별시 강남구 도산대로 503,37.5246327,127.0479644,540,30
청송독서실,서울특별시 강남구 양재대로55길 15,37.4918891,127.0874845,50,75
에스모드서울패션디자인학원,서울특별시 강남구 압구정로 106,37.522683,127.0203605,350,711
문예원웅변학원,서울특별시 강남구 도곡로 509,37.4995866,127.0620542,10,696
대영이피아이(EPI)학원,서울특별시 강남구 영동대로112길 51,37.5158631,127.0645113,168,168
대치휘튼학원,서울특별시 강남구 삼성로64길 45,37.5009632,127.0639676,11,210
엔프렙학원,서울특별시 강남구 압구정로 108,37.5229191,127.0205789,36,309
해법수학해법영어학원,서울특별시 강남구 개포로22길 84,37.4747924,127.0523316,82,55
21세기수학보습학원,서울특별시 강남구 학동로42길 73,37.5109958,127.037768,24,220
지엘에스굿모닝영어영문학박사학원,서울특별시 강남구 선릉로 344,37.5005034,127.0512048,150,81
토탈에듀예일보습학원,서울특별시 강남구 영동대로57길 28,37.4998959,127.0652973,25,240
스터디플래닛대치2센터독서실,서울특별시 강남구 삼성로58길 29,37.4992421,127.0635885,112,111
수서정상어학원,서울특별시 강남구 밤고개로 219,37.4747226,127.1070295,204,232
논현탑클래스학원,서울특별시 강남구 학동로6길 51,37.5093446,127.0266642,20,240
라도라음악학원,서울특별시 강남구 영동대로57길 28,37.4998959,127.0652973,58,48
양인석스피치칼리지학원,서울특별시 강남구 선릉로6길 19,37.4833391,127.0624277,15,180
정철어학원,서울특별시 강남구 강남대로 456,37.5031806,127.0256302,394,231
이씨씨대치어학학원,서울특별시 강남구 역삼로 442,37.5018274,127.0554252,120,287
역삼시사일본어학원,서울특별시 강남구 테헤란로4길 28,37.4965132,127.0300705,1275,351
청담미술학원,서울특별시 강남구 선릉로 712,37.5184763,127.0410422,30,67
도화선한국화미술학원,서울특별시 강남구 선릉로86길 6-3,37.5029364,127.0505584,60,67
유형액세서리학원,서울특별시 강남구 논현로175길 11,37.5259382,127.0275871,90,66
제이씨앤씨정원미술학원,서울특별시 강남구 도산대로25길 37,37.5219551,127.0261133,20,52
창조음악학원,서울특별시 강남구 개포로22길 49,37.4761963,127.0501748,45,66
강남라이즈어학원,서울특별시 강남구 도곡로37길 5,37.4941563,127.0446536,308,240
강남에스엘피어학학원,서울특별시 강남구 개포로 626,37.4940137,127.0813904,40,277
한빛변리사학원,서울특별시 강남구 논현로95길 29-14,37.5011312,127.0339046,3260,960
수학전문강남수학원,서울특별시 강남구 일원로5길 51,37.4922506,127.0843017,58,71
대은제이에스에이과학전문보습학원,서울특별시 강남구 선릉로 42,37.4833383,127.0601198,75,60
G1(지원)미술학원,서울특별시 강남구 역삼로 315,37.5005462,127.0503306,320,211
강남대성학원,서울특별시 강남구 테헤란로4길 39,37.4958912,127.0310161,2648,1679
대치나인에듀학원,서울특별시 강남구 삼성로 221,37.4967029,127.061731,750,124
지혜의숲사고력보습학원,서울특별시 강남구 삼성로76길 14,37.5040153,127.0595037,36,124
에스피이피(SPEP)어학원,서울특별시 강남구 언주로 861,37.5274105,127.0330945,160,210
가온미술학원,서울특별시 강남구 선릉로86길 10,37.5030598,127.0506839,960,79
베를린입시음악학원,서울특별시 강남구 도곡로 184,37.4916885,127.0397809,120,61
제이에스에치과학보습학원,서울특별시 강남구 도곡로 504,37.4988116,127.0616425,115,280
하우스터디대치독서실,서울특별시 강남구 삼성로51길 25,37.4957694,127.0603513,126,130
미라클음악학원,서울특별시 강남구 개포로25길 6,37.4793292,127.0485448,160,69
엠씨티수학학원,서울특별시 강남구 삼성로 155,37.4938284,127.062941,80,146
유영분장학원,서울특별시 강남구 논현로140길 10,37.5169411,127.030342,162,65
