발생년,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,경도,위도
2012,주간,수,1,1,0,0,0,127.08663806,37.53728415
2012,야간,수,1,1,0,0,0,127.07167004,37.54792086
2012,주간,토,1,1,0,0,0,127.09463121,37.53484214
2012,야간,금,1,1,0,0,0,127.11062107,37.54856049
2012,주간,월,1,1,0,0,0,127.07365255,37.55960054
2012,야간,월,1,2,1,0,0,127.07446098,37.56079324
2012,야간,화,1,1,0,0,0,127.08727757,37.54036902
2012,주간,목,1,2,1,0,0,127.07764445,37.52836496
2012,야간,토,1,1,0,0,0,127.07408291,37.53371524
2012,야간,수,1,1,0,0,0,127.07219669,37.55679207
2012,야간,화,2,12,1,8,1,127.08243589,37.55605357
2012,야간,토,1,1,0,0,0,127.07768127,37.55394552
2012,주간,목,1,1,0,0,0,127.08164297,37.53181336
2012,야간,금,1,1,0,0,0,127.08971664,37.55177964
2012,주간,월,1,1,0,0,0,127.07899253,37.55632076
2012,야간,목,1,3,2,0,0,127.07876898,37.56787528
2013,야간,토,1,1,0,0,0,127.07339568,37.55897768
2013,야간,목,1,1,0,0,0,127.0692597,37.55168876
2013,주간,수,1,2,0,1,0,127.07662338,37.52880297
2013,야간,수,1,1,0,0,0,127.10944685,37.54578945
2013,주간,화,1,2,1,0,0,127.10744471,37.53037865
2013,주간,월,1,1,0,0,0,127.08787823,37.55874069
2013,야간,금,1,1,0,0,0,127.10733167,37.53035124
2013,주간,일,1,3,1,1,0,127.0640511,37.5421153
2013,주간,월,1,1,0,0,0,127.07437901,37.55927868
2013,야간,일,1,1,0,0,0,127.07712382,37.53037312
2014,야간,화,1,1,0,0,0,127.08316178,37.55988688
2014,주간,월,1,1,0,0,0,127.08844132,37.54487985
2014,야간,화,1,1,0,0,0,127.08613492,37.55458837
2014,야간,월,1,1,0,0,0,127.08367682,37.54098192
2014,주간,목,1,1,0,0,0,127.06333196,37.54120228
2014,주간,월,1,1,0,0,0,127.08560748,37.53186159
2014,야간,금,1,2,1,0,0,127.07747605,37.5660301
2014,주간,목,1,2,0,1,0,127.08526622,37.5540355
