지역구,발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,경도,위도
노원구,2012,주,수,1,1,0,0,0,127.057248,37.66443842
노원구,2013,주,월,1,1,0,0,0,127.08273582,37.63417428
노원구,2013,야,화,1,1,0,0,0,127.09475846,37.62627537
노원구,2012,야,화,1,1,0,0,0,127.06053992,37.6541755
노원구,2013,야,월,1,2,1,0,0,127.06264012,37.64788296
노원구,2012,야,월,1,1,0,0,0,127.075917,37.66535427
노원구,2012,주,화,1,1,0,0,0,127.07560179,37.66097265
노원구,2012,야,수,1,1,0,0,0,127.05508985,37.6289807
노원구,2012,야,금,1,1,0,0,0,127.06827473,37.63600605
노원구,2013,야,토,1,1,0,0,0,127.06364409,37.66615676
노원구,2012,야,수,1,2,1,0,0,127.07468886,37.62025589
노원구,2013,주,목,1,1,0,0,0,127.0455702,37.62898048
노원구,2013,야,금,1,2,0,1,0,127.05534698,37.68470224
노원구,2014,주,토,1,4,1,2,0,127.06306362,37.62008722
노원구,2014,주,목,1,1,0,0,0,127.08078627,37.67050027
노원구,2012,주,일,1,1,0,0,0,127.0704411,37.62391797
노원구,2012,주,목,1,1,0,0,0,127.08011436,37.66900167
노원구,2013,야,수,1,2,1,0,0,127.0520705,37.680733
노원구,2012,야,수,1,1,0,0,0,127.06465059,37.63359517
노원구,2013,야,토,1,1,0,0,0,127.07257488,37.64134231
노원구,2013,주,목,1,1,0,0,0,127.06342191,37.64078061
노원구,2012,야,수,1,1,0,0,0,127.05406961,37.67073578
노원구,2013,주,월,1,2,0,1,0,127.07525737,37.65774462
노원구,2012,야,월,1,2,1,0,0,127.07668099,37.6486192
노원구,2013,야,월,1,1,0,0,0,127.07763085,37.65704109
노원구,2014,주,월,1,1,0,0,0,127.08530792,37.62001427
노원구,2014,야,토,1,1,0,0,0,127.05844999,37.66269523
노원구,2014,야,일,1,1,0,0,0,127.07137657,37.62875256
노원구,2014,주,금,2,5,2,1,0,127.09100849,37.67361872
노원구,2013,주,목,1,3,1,1,0,127.07454564,37.62092957
노원구,2013,주,화,1,1,0,0,0,127.07409168,37.62959163
노원구,2014,야,토,1,7,4,2,0,127.08707837,37.62157078
노원구,2014,주,월,1,1,0,0,0,127.07788463,37.66227876
노원구,2012,야,토,1,2,1,0,0,127.07977816,37.66829743
노원구,2014,주,금,1,1,0,0,0,127.07725062,37.61811088
노원구,2014,주,수,1,1,0,0,0,127.07923193,37.62242638
노원구,2014,주,일,1,7,3,2,1,127.06015889,37.67456227
노원구,2014,야,목,1,1,0,0,0,127.06113062,37.65589925
노원구,2014,주,금,1,1,0,0,0,127.05440547,37.6202261
노원구,2014,주,목,1,2,1,0,0,127.05985138,37.65750788
노원구,2014,주,목,1,2,1,0,0,127.06387695,37.64573335
노원구,2014,주,월,1,1,0,0,0,127.07264921,37.64004195
노원구,2015,주,일,1,1,0,0,0,127.0712238,37.63759415
노원구,2015,주,화,1,1,0,0,0,127.0541828,37.67077226
노원구,2015,야,일,1,4,1,0,2,127.0650838,37.64288056
노원구,2015,주,목,1,1,0,0,0,127.0641268,37.6281852
노원구,2015,주,일,1,1,0,0,0,127.0625366,37.61527211
노원구,2015,주,목,1,2,1,0,0,127.0953096,37.62640526
노원구,2015,야,일,1,2,0,1,0,127.0525459,37.62610482
노원구,2015,주,목,1,1,0,0,0,127.0716119,37.65882206
노원구,2015,야,토,1,1,0,0,0,127.0636687,37.63287949
노원구,2015,주,금,1,1,0,0,0,127.095707,37.62690055
노원구,2015,야,토,1,1,0,0,0,127.0668516,37.62929487
노원구,2015,주,목,1,1,0,0,0,127.0554219,37.68165603
노원구,2015,주,수,1,1,0,0,0,127.0669102,37.65629917
노원구,2015,야,토,1,2,0,1,0,127.0566777,37.62877036
노원구,2015,야,목,1,1,0,0,0,127.0705366,37.63094878
노원구,2016,주,금,1,1,0,0,0,127.0891028,37.62228991
노원구,2016,주,수,1,1,0,0,0,127.0796626,37.62442889
노원구,2016,주,월,1,1,0,0,0,127.08219945,37.67125339
노원구,2016,주,목,1,1,0,0,0,127.05709256,37.66770066
노원구,2016,주,일,1,1,0,0,0,127.0761975,37.61798993
노원구,2016,주,목,1,1,0,0,0,127.08679054,37.67558696
노원구,2016,주,금,1,1,0,0,0,127.07099901,37.66484976
노원구,2016,야,월,1,1,0,0,0,127.08483707,37.62317632
노원구,2016,야,수,1,1,0,0,0,127.07120785,37.64430906
노원구,2016,야,수,1,1,0,0,0,127.09749316,37.62981799
노원구,2016,주,월,1,1,0,0,0,127.08409426,37.62022632
노원구,2016,주,수,1,1,0,0,0,127.05358247,37.67823303
노원구,2016,야,화,1,1,0,0,0,127.06948018,37.64905282
노원구,2017,야,일,1,2,1,0,0,127.05019199,37.67442554
노원구,2017,야,수,1,2,0,1,0,127.08704551,37.67664241
노원구,2017,야,수,1,1,0,0,0,127.05506294,37.65439833
노원구,2017,야,수,1,2,1,0,0,127.06093477,37.67375396
노원구,2017,야,일,1,1,0,0,0,127.10173624,37.67779256
노원구,2017,야,금,1,1,0,0,0,127.07756817,37.63808573
노원구,2017,주,일,1,1,0,0,0,127.09040838,37.62391687
노원구,2017,야,금,1,2,0,1,0,127.05675613,37.66897929
노원구,2017,야,금,1,1,0,0,0,127.0708947,37.62977834
노원구,2017,야,목,1,1,0,0,0,127.07910642,37.61855918
노원구,2017,주,토,1,1,0,0,0,127.06932054,37.63939891
노원구,2018,야,일,1,1,0,0,0,127.0535196,37.68116212
노원구,2018,주,월,1,1,0,0,0,127.0617941,37.64910564
노원구,2018,주,월,1,1,0,0,0,127.0783154,37.65628642
노원구,2018,주,수,1,1,0,0,0,127.0902211,37.62293375
노원구,2018,야,금,1,2,0,1,0,127.0761294,37.66389487
노원구,2018,야,금,1,1,0,0,0,127.055337,37.67687864
노원구,2018,야,토,1,1,0,0,0,127.0600591,37.63383052
노원구,2018,야,수,1,2,0,0,1,127.0691473,37.63407136
노원구,2018,주,화,1,1,0,0,0,127.0678994,37.65776297
노원구,2018,야,화,1,1,0,0,0,127.0740665,37.62605828
