학원명,도로명주소,Latitude,Longitude,정원합계,일시수용능력인원합계
마들단디독서실,서울특별시 노원구 동일로227길 26,37.6687829,127.0537253,167,167
청우어학원,서울특별시 노원구 동일로 1368,37.6507502,127.0619389,90,147
경희로맨틱발레(Romanticballet)무용학원,서울특별시 노원구 동일로 1393,37.6529411,127.0605151,60,99
중계새롬보습학원,서울특별시 노원구 중계로 8길 29,37.6459851,127.0826402,55,105
한샘영재보습학원,서울특별시 노원구 섬밭로 209,37.6354449,127.0642439,50,85
리틀비음악학원,서울특별시 노원구 동일로227길 26,37.6687829,127.0537253,57,45
중앙키즈팝음악학원,서울특별시 노원구 동일로216길 70,37.6521365,127.0654852,60,19
세화음악학원,서울특별시 노원구 섬밭로 209,37.6354449,127.0642439,36,54
예쁜소리음악학원,서울특별시 노원구 동일로 1456,37.6588173,127.0604508,90,21
카라얀음악학원,서울특별시 노원구 한글비석로 460,37.66447,127.0669577,406,54
중앙음악학원,서울특별시 노원구 덕릉로 459-47,37.6472467,127.0595377,90,22
클릭전원미술학원,서울특별시 노원구 동일로 1354,37.6495588,127.062273,400,134
숙명피아노학원,서울특별시 노원구 광운로 43,37.6213249,127.0590216,3,54
SMMA음악학원,서울특별시 노원구 섬밭로 232,37.6368495,127.0663824,19,118
동명피아노학원,서울특별시 노원구 동일로228길 29,37.6678103,127.0587367,32,20
보람음악학원,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,16,150
보람웅변학원,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,90,120
맑은샘상계음악학원,서울특별시 노원구 노원로 547,37.6607248,127.0569722,22,114
어린화가들미술학원,서울특별시 노원구 동일로228길 29,37.6678103,127.0587367,10,120
예광음악학원,서울특별시 노원구 동일로 1384,37.6525437,127.0615355,24,53
매쓰플러스수학학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,96,87
아이린영어학원,서울특별시 노원구 동일로 1551,37.6668834,127.0568372,24,85
공감학원,서울특별시 노원구 노원로34길 102,37.6634793,127.0662276,90,104
최고수챌린지에듀학원,서울특별시 노원구 동일로 1528,37.6648039,127.0581367,710,204
감자과학수학전문학원,서울특별시 노원구 한글비석로 265,37.6514461,127.0765554,27,96
쎄실음악학원,서울특별시 노원구 상계로1길 74,37.6594056,127.0615269,136,17
은하피아노학원,서울특별시 노원구 노원로34길 92,37.663059,127.0661643,50,17
줄리어드음악학원,서울특별시 노원구 노원로 540,37.6614571,127.0593957,50,22
무한수학영어전문학원,서울특별시 노원구 동일로 1026,37.6217391,127.074606,84,78
예솔음악학원,서울특별시 노원구 동일로207길 23,37.642026,127.0641086,17,54
디자인은그린섬미술학원,서울특별시 노원구 노해로 488,37.6543208,127.0621574,125,153
연세이엘피(ELP)월계점음악학원,서울특별시 노원구 초안산로 19,37.6295685,127.0541403,75,71
제이실용음악학원,서울특별시 노원구 동일로230길 31,37.6716699,127.0580313,29,60
명음음악학원,서울특별시 노원구 중계로 198,37.6519314,127.0795434,110,162
준미술학원,서울특별시 노원구 상계로 108,37.6570828,127.0672266,365,73
제2조재필수학학원,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,110,91
제2과수원과학수학전문학원,서울특별시 노원구 중계로 201,37.6504487,127.0777705,1011,172
중계미래탐구초등영재센터학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,1100,191
한울비상학원,서울특별시 노원구 동일로230길 31,37.6716699,127.0580313,552,138
애플키즈보습학원,서울특별시 노원구 공릉로41길 15,37.6245095,127.0787845,30,90
비바체음악학원,서울특별시 노원구 노원로22길 77,37.6485878,127.0742954,10,55
천년의미소미술학원,서울특별시 노원구 동일로 1366,37.6505564,127.0619982,360,63
와이비엠이씨씨노원어학원,서울특별시 노원구 한글비석로 263,37.6512178,127.0764633,75,235
토즈하계스마트독서실,서울특별시 노원구 공릉로63길 13,37.6348629,127.0705387,122,122
클라라음악학원,서울특별시 노원구 동일로237길 46,37.6736727,127.0528512,310,31
윤선생우리집앞영어교실상승학원,서울특별시 노원구 동일로192길 37,37.6266059,127.074855,150,211
남주희실용음악학원,서울특별시 노원구 동일로 1532,37.6653113,127.0579985,9,56
조이앤플레이음악학원,서울특별시 노원구 동일로217길 58,37.6532867,127.0579391,28,30
김영편입노원캠퍼스학원,서울특별시 노원구 동일로 1396,37.6532435,127.0613144,2430,305
티씨에스(TCS)실용음악학원,서울특별시 노원구 동일로191길 15,37.625011,127.0721986,4,120
청담어학원,서울특별시 노원구 중계로 218,37.6508704,127.0760059,135,557
고려e학원,서울특별시 노원구 누원로 20,37.6869316,127.0528593,140,87
서진독서실,서울특별시 노원구 노원로 460,37.6575945,127.0665165,212,130
학여울연세음악학원,서울특별시 노원구 동일로207길 184,37.6363492,127.0613398,36,120
도전깨우침비상과학수학학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,30,76
엘리트보습학원,서울특별시 노원구 동일로218길 17,37.6539147,127.0619142,55,87
조승건수학전문학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,88,70
요리수창의교육학원,서울특별시 노원구 공릉로 146,37.623032,127.0795563,66,45
엠파워학원,서울특별시 노원구 중계로 218,37.6508704,127.0760059,96,101
크레버스영재관중계제2지점학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,854,169
예스(Yes)독서실,서울특별시 노원구 공릉로46길 3,37.6271808,127.0791659,126,126
디자인K미술학원,서울특별시 노원구 노해로 492,37.6544405,127.0626886,400,211
주주(JUJU)실용음악학원,서울특별시 노원구 중계로12가길 29,37.6483323,127.0829105,600,59
경희음악학원,서울특별시 노원구 동일로242마길 6,37.6742707,127.0589539,27,60
학림2관학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,2000,199
창신보습학원,서울특별시 노원구 덕릉로 744,37.6638594,127.076581,156,116
이보영의토킹클럽중계학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,60,75
리딩뱅크독서실,서울특별시 노원구 중계로 217,37.6504871,127.0759853,288,152
신세화음악학원,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,41,41
플랜원영수전문학원,서울특별시 노원구 중계로 225,37.6498272,127.0743318,66,75
예음음악학원,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,55,49
칼라키즈(COLOR)어학원,서울특별시 노원구 공릉로39길 22-1,37.6239417,127.0780231,50,148
한국UPI학원,서울특별시 노원구 석계로1길 22,37.6155573,127.0634946,220,298
선화음악학원,서울특별시 노원구 덕릉로118길 29,37.667829,127.0816184,50,30
종로엠스쿨중계학원독서실,서울특별시 노원구 동일로 1373,37.6511487,127.0610612,635,198
새리듬음악학원,서울특별시 노원구 동일로192길 77,37.6280811,127.0768426,127,28
시심학원,서울특별시 노원구 중계로 197,37.6497527,127.0784681,55,96
로사음악학원,서울특별시 노원구 공릉로58길 176,37.6374588,127.0773164,270,30
C&C미술학원,서울특별시 노원구 노해로 501,37.6552273,127.0635578,410,116
TOPIAEnglishZone어학학원,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,154,990
중계탑클래스은행사거리학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,602,81
이감수학학원,서울특별시 노원구 중계로18길 13,37.6513077,127.0778154,42,78
노원연세보습학원,서울특별시 노원구 상계로 193-25,37.6627597,127.0733601,30,91
김재현수학학원,서울특별시 노원구 노원로 254,37.6402077,127.0735771,30,73
새벽2시독서실,서울특별시 노원구 동일로230가길 10,37.6720151,127.0576106,148,148
이튼보습학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,223,167
윤오상수학학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,60,115
루체음악학원,서울특별시 노원구 공릉로34길 34,37.6229669,127.0810212,35,31
공릉최고수학보습학원,서울특별시 노원구 노원로1길 9,37.6221921,127.0863931,120,79
양지통역학원,서울특별시 노원구 노원로 468,37.658125,127.0659897,105,40
칼수학2관학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,186,201
정진우수학학원,서울특별시 노원구 한글비석로 273,37.6521755,127.0771914,44,75
맥스윈학원,서울특별시 노원구 노원로34길 76,37.6624675,127.0660687,62,81
