노드링크 유형,시군구명,읍면동명,위도,경도
NODE,노원구,상계동,37.670926553,127.05118316
NODE,노원구,상계동,37.648808923,127.06204978
LINK,노원구,상계동,37.655705308,127.06053052
NODE,노원구,상계동,37.648902462,127.06239485
LINK,노원구,하계동,37.634547803,127.06598121
NODE,노원구,상계동,37.668972804,127.0607285
NODE,노원구,상계동,37.66917664,127.06041486
NODE,노원구,상계동,37.66906002,127.06023338
NODE,노원구,상계동,37.669872847,127.05941928
NODE,노원구,상계동,37.669973441,127.05961513
LINK,노원구,공릉동,37.628747813,127.07149139
NODE,노원구,하계동,37.631823092,127.07037209
NODE,노원구,월계동,37.615962715,127.06993003
LINK,노원구,하계동,37.635795069,127.06794203
LINK,노원구,중계동,37.646152841,127.06605505
NODE,노원구,공릉동,37.629063553,127.07161254
LINK,노원구,상계동,37.668874402,127.06072122
NODE,노원구,월계동,37.629258864,127.05494381
NODE,노원구,월계동,37.628933756,127.05524571
NODE,노원구,공릉동,37.626594416,127.08558692
LINK,노원구,중계동,37.63984609,127.06066148
NODE,노원구,공릉동,37.627418314,127.06936877
LINK,노원구,중계동,37.649370092,127.06942412
NODE,노원구,상계동,37.661467444,127.05890979
NODE,노원구,공릉동,37.626669732,127.08586898
NODE,노원구,하계동,37.632297448,127.06732017
LINK,노원구,상계동,37.659832814,127.0726238
LINK,노원구,공릉동,37.631002082,127.06744849
NODE,노원구,월계동,37.631666308,127.06114765
NODE,노원구,하계동,37.632238074,127.06709854
NODE,노원구,공릉동,37.631071891,127.06743128
NODE,노원구,중계동,37.63948757,127.06055779
NODE,노원구,상계동,37.667537816,127.0568986
LINK,노원구,상계동,37.662899619,127.06166044
NODE,노원구,상계동,37.671281424,127.08226003
NODE,노원구,상계동,37.652649991,127.06777617
NODE,노원구,월계동,37.629112502,127.05472502
NODE,노원구,공릉동,37.627880687,127.06920807
NODE,노원구,공릉동,37.625132311,127.08835319
NODE,노원구,공릉동,37.621316008,127.08710575
NODE,노원구,상계동,37.654107901,127.06042861
LINK,노원구,상계동,37.65493119,127.05700856
NODE,노원구,월계동,37.627618644,127.0631013
LINK,노원구,상계동,37.662721936,127.06923464
NODE,노원구,월계동,37.625549878,127.05191915
NODE,노원구,월계동,37.625950278,127.05212084
NODE,노원구,상계동,37.66427291,127.05601346
NODE,노원구,상계동,37.664346642,127.05494836
NODE,노원구,상계동,37.670554971,127.08130045
LINK,노원구,월계동,37.627777489,127.04984466
NODE,노원구,상계동,37.664410216,127.05601932
NODE,노원구,월계동,37.625952624,127.05199136
NODE,노원구,월계동,37.626648682,127.05118619
NODE,노원구,월계동,37.626545765,127.05103362
NODE,노원구,상계동,37.65823097,127.06963106
NODE,노원구,상계동,37.661702903,127.05406657
NODE,노원구,월계동,37.626756855,127.06550604
NODE,노원구,상계동,37.67138001,127.08200102
LINK,노원구,상계동,37.656183775,127.06273629
LINK,노원구,공릉동,37.629883238,127.07644603
LINK,노원구,월계동,37.634023331,127.05916978
LINK,노원구,하계동,37.636088825,127.06848906
LINK,노원구,상계동,37.649172373,127.06205871
NODE,노원구,상계동,37.657881403,127.06797513
LINK,노원구,상계동,37.660992651,127.05877088
NODE,노원구,상계동,37.667822717,127.07932252
NODE,노원구,상계동,37.657725803,127.06808886
LINK,노원구,월계동,37.62753299,127.04784693
NODE,노원구,상계동,37.656762248,127.06574453
NODE,노원구,월계동,37.628393429,127.05575461
NODE,노원구,월계동,37.628914718,127.05678224
NODE,노원구,월계동,37.628796553,127.05501541
LINK,노원구,중계동,37.64605094,127.06637406
NODE,노원구,공릉동,37.621457651,127.08743678
LINK,노원구,공릉동,37.622349005,127.07937022
NODE,노원구,공릉동,37.621329837,127.08697341
LINK,노원구,하계동,37.63188182,127.06974556
LINK,노원구,중계동,37.651388253,127.07281947
NODE,노원구,월계동,37.625767376,127.05171501
NODE,노원구,중계동,37.654708767,127.07798515
LINK,노원구,상계동,37.664154895,127.06726225
LINK,노원구,월계동,37.619524344,127.05807553
NODE,노원구,월계동,37.630174663,127.05408412
LINK,노원구,상계동,37.657803603,127.06803199
LINK,노원구,상계동,37.665854732,127.07773917
NODE,노원구,중계동,37.647748554,127.08050409
NODE,노원구,상계동,37.656083266,127.06276781
NODE,노원구,중계동,37.645308331,127.06421412
NODE,노원구,중계동,37.647709547,127.08071966
NODE,노원구,공릉동,37.616924268,127.07308265
NODE,노원구,공릉동,37.616942626,127.07300211
LINK,노원구,공릉동,37.625634936,127.09389403
NODE,노원구,공릉동,37.631030495,127.06778518
NODE,노원구,공릉동,37.621553689,127.08754335
LINK,노원구,상계동,37.660847961,127.06201106
NODE,노원구,하계동,37.636813307,127.06528883
LINK,노원구,월계동,37.627064581,127.05409194
NODE,노원구,공릉동,37.621800918,127.08744869
NODE,노원구,상계동,37.661439746,127.0540232
LINK,노원구,중계동,37.644225854,127.08314438
LINK,노원구,중계동,37.64277775,127.06249299
LINK,노원구,공릉동,37.621452325,127.08690163
LINK,노원구,상계동,37.658644221,127.07098653
LINK,노원구,공릉동,37.623422011,127.09023887
LINK,노원구,하계동,37.638130567,127.06487558
NODE,노원구,중계동,37.645568034,127.06353811
NODE,노원구,상계동,37.65414655,127.06092897
LINK,노원구,중계동,37.639111117,127.06413893
LINK,노원구,하계동,37.634341816,127.07189386
LINK,노원구,중계동,37.650696763,127.07472677
LINK,노원구,상계동,37.680799506,127.05542409
LINK,노원구,월계동,37.620075401,127.06977265
NODE,노원구,공릉동,37.621839868,127.08738832
LINK,노원구,공릉동,37.630206168,127.09818147
LINK,노원구,공릉동,37.617552196,127.07532732
LINK,노원구,상계동,37.661571521,127.07059375
LINK,노원구,공릉동,37.631077417,127.06777227
NODE,노원구,공릉동,37.630318367,127.0981068
LINK,노원구,공릉동,37.62138683,127.08727127
LINK,노원구,공릉동,37.622890539,127.07122971
NODE,노원구,공릉동,37.6202207,127.08430865
NODE,노원구,중계동,37.65795551,127.07528456
LINK,노원구,하계동,37.631776662,127.06758587
LINK,노원구,중계동,37.650510075,127.07673135
NODE,노원구,하계동,37.637965588,127.07386287
LINK,노원구,공릉동,37.619268301,127.07233823
NODE,노원구,월계동,37.614964834,127.06487938
NODE,노원구,공릉동,37.62066445,127.084617
LINK,노원구,상계동,37.670738805,127.05395699
NODE,노원구,상계동,37.658395839,127.06954654
NODE,노원구,상계동,37.670967109,127.05262991
LINK,노원구,중계동,37.640664776,127.06880052
NODE,노원구,월계동,37.626916927,127.06572773
NODE,노원구,공릉동,37.620391991,127.08479364
LINK,노원구,상계동,37.66904077,127.08016304
LINK,노원구,상계동,37.666555236,127.0782617
LINK,노원구,중계동,37.654897142,127.07429828
LINK,노원구,상계동,37.664427709,127.06640893
NODE,노원구,중계동,37.653399934,127.07836314
LINK,노원구,월계동,37.626836891,127.06561688
NODE,노원구,공릉동,37.621574813,127.08682984
NODE,노원구,하계동,37.636760789,127.06507583
NODE,노원구,하계동,37.634533885,127.06631501
LINK,노원구,중계동,37.659885451,127.07542393
NODE,노원구,하계동,37.634403547,127.06612497
NODE,노원구,상계동,37.650559197,127.0683818
LINK,노원구,중계동,37.6413339,127.06313559
LINK,노원구,상계동,37.683694421,127.05546079
NODE,노원구,하계동,37.63442878,127.06601852
LINK,노원구,월계동,37.628303223,127.04686064
NODE,노원구,상계동,37.656613599,127.06426078
NODE,노원구,중계동,37.649303299,127.06930736
NODE,노원구,상계동,37.672417205,127.08290764
NODE,노원구,공릉동,37.628261999,127.08502486
NODE,노원구,상계동,37.655846809,127.0605073
NODE,노원구,중계동,37.649436885,127.06954088
NODE,노원구,하계동,37.634776667,127.06595839
LINK,노원구,하계동,37.637027115,127.07042592
NODE,노원구,월계동,37.618210037,127.05717256
NODE,노원구,상계동,37.655893258,127.06039063
NODE,노원구,상계동,37.65485347,127.05704351
LINK,노원구,상계동,37.654072618,127.06040186
LINK,노원구,하계동,37.631920561,127.07002184
LINK,노원구,상계동,37.654592319,127.06193349
NODE,노원구,상계동,37.654802405,127.05711932
NODE,노원구,공릉동,37.62779817,127.09599724
NODE,노원구,상계동,37.655406334,127.06005765
NODE,노원구,중계동,37.649412248,127.06966785
NODE,노원구,상계동,37.655742709,127.05996456
NODE,노원구,상계동,37.65500891,127.05697361
NODE,노원구,상계동,37.653452491,127.05750539
NODE,노원구,상계동,37.653529888,127.05784402
NODE,노원구,상계동,37.654037336,127.06037511
NODE,노원구,공릉동,37.622827157,127.09068818
LINK,노원구,월계동,37.622924073,127.06006201
LINK,노원구,상계동,37.660118567,127.07255705
NODE,노원구,상계동,37.654192218,127.0608458
NODE,노원구,상계동,37.6784768,127.05519489
NODE,노원구,상계동,37.654609693,127.06082892
NODE,노원구,상계동,37.653817366,127.05775817
NODE,노원구,상계동,37.653847084,127.05763194
NODE,노원구,상계동,37.654176375,127.05731481
NODE,노원구,상계동,37.654475396,127.06025209
NODE,노원구,상계동,37.654228185,127.05752225
NODE,노원구,상계동,37.655563806,127.06055375
NODE,노원구,상계동,37.658196523,127.05976073
NODE,노원구,상계동,37.658140677,127.05940418
NODE,노원구,월계동,37.616878438,127.06412872
NODE,노원구,월계동,37.628739122,127.05695069
NODE,노원구,월계동,37.628615491,127.05705706
LINK,노원구,월계동,37.62882692,127.05686647
LINK,노원구,상계동,37.659829595,127.07232566
NODE,노원구,월계동,37.628512506,127.05706274
NODE,노원구,월계동,37.628296652,127.05873528
NODE,노원구,월계동,37.628429366,127.05877279
NODE,노원구,월계동,37.634479619,127.0597025
NODE,노원구,월계동,37.634621402,127.05990693
NODE,노원구,월계동,37.61690584,127.06424094
LINK,노원구,하계동,37.637921276,127.06468115
LINK,노원구,중계동,37.650655662,127.07698961
LINK,노원구,상계동,37.670894474,127.05747962
NODE,노원구,상계동,37.656074616,127.06184854
NODE,노원구,공릉동,37.625144507,127.09038025
LINK,노원구,중계동,37.645279571,127.066735
LINK,노원구,하계동,37.637998087,127.06441358
NODE,노원구,공릉동,37.625816406,127.09157515
NODE,노원구,공릉동,37.620470176,127.08414647
NODE,노원구,공릉동,37.625236104,127.09030555
LINK,노원구,상계동,37.664514723,127.05760562
LINK,노원구,상계동,37.645480914,127.05710185
NODE,노원구,공릉동,37.623152341,127.09040661
NODE,노원구,공릉동,37.624703721,127.08920291
LINK,노원구,중계동,37.651376418,127.0731025
NODE,노원구,상계동,37.654256715,127.06761079
LINK,노원구,공릉동,37.629127818,127.07130472
NODE,노원구,상계동,37.654186174,127.06730084
NODE,노원구,상계동,37.670942169,127.05822101
NODE,노원구,월계동,37.620083339,127.0698935
NODE,노원구,월계동,37.620067463,127.06965181
LINK,노원구,상계동,37.655579705,127.0670172
LINK,노원구,중계동,37.649011259,127.0808605
LINK,노원구,상계동,37.658803871,127.07139606
LINK,노원구,중계동,37.645258463,127.06403754
LINK,노원구,월계동,37.623456331,127.06839906
LINK,노원구,공릉동,37.620940962,127.07455955
NODE,노원구,하계동,37.634900094,127.066229
LINK,노원구,공릉동,37.628980788,127.06839333
LINK,노원구,공릉동,37.623521793,127.07370328
LINK,노원구,하계동,37.637973227,127.07261536
NODE,노원구,하계동,37.634600234,127.06634672
NODE,노원구,상계동,37.67083148,127.05397433
NODE,노원구,상계동,37.66512407,127.06094841
NODE,노원구,상계동,37.665178821,127.0612824
NODE,노원구,상계동,37.66505065,127.06131109
NODE,노원구,월계동,37.630044327,127.05384808
NODE,노원구,상계동,37.664991323,127.06097709
NODE,노원구,상계동,37.664832072,127.05912301
NODE,노원구,상계동,37.664687882,127.05915456
NODE,노원구,상계동,37.66717687,127.05738318
LINK,노원구,하계동,37.631764742,127.07035909
NODE,노원구,상계동,37.664672374,127.05812393
NODE,노원구,상계동,37.657366842,127.06658769
NODE,노원구,상계동,37.664670318,127.05765181
NODE,노원구,상계동,37.664432097,127.05809496
NODE,노원구,상계동,37.664377337,127.05776097
NODE,노원구,상계동,37.664443767,127.05763148
NODE,노원구,상계동,37.657236976,127.06635106
NODE,노원구,상계동,37.664503546,127.05705864
NODE,노원구,상계동,37.670646129,127.05393964
NODE,노원구,상계동,37.670786334,127.05259523
LINK,노원구,상계동,37.668079476,127.06442433
NODE,노원구,상계동,37.670787809,127.05438888
