지번주소,경도,위도,업태구분명
서울특별시 노원구 상계동 649-6 1층,37.6653113,127.0579985,패스트푸드
서울특별시 노원구 상계동 389-125,37.6612609,127.0706481,편의점
서울특별시 노원구 상계동 456-51번지,37.6641175,127.066333,편의점
서울특별시 노원구 상계동 669 1층,37.6615829,127.0570969,패스트푸드
서울특별시 노원구 월계동 50-29번지 1층,37.6149069,127.0640514,패스트푸드
서울특별시 노원구 상계동 617번지 1층,37.6556813,127.0623264,패스트푸드
서울특별시 노원구 상계동 763-2 장우빌딩 1층,37.6483254,127.0620718,패스트푸드
서울특별시 노원구 중계동 364-14 청암상가빌딩,37.6481989,127.0784708,패스트푸드
서울특별시 노원구 하계동 284 세이브존,37.6378658,127.068707,패스트푸드
"서울특별시 노원구 중계동 359-14 원광빌딩 1,2층",37.6508704,127.0760059,패스트푸드
서울특별시 노원구 월계동 285-13번지 현주프라자 1층,37.6296546,127.0586337,패스트푸드
서울특별시 노원구 중계동 509-0번지 (주)이천일아울렛지하1층,37.6413039,127.0679877,패스트푸드
서울특별시 노원구 공릉동 653-5번지,37.619162,127.0788975,패스트푸드
서울특별시 노원구 상계동 684-0,37.6641181,127.0655654,패스트푸드
서울특별시 노원구 상계동 599-0번지,37.6559978,127.0628614,커피숍
서울특별시 노원구 공릉동 126 서울여자대학교 1층 가은 학생누리관동,37.6281126,127.0904568,패스트푸드
서울특별시 노원구 중계동 517번지,37.6472951,127.0702749,패스트푸드
서울특별시 노원구 중계동 359-8번지,37.6521755,127.0771914,편의점
서울특별시 노원구 공릉동 633-15번지,37.6193465,127.0778318,편의점
서울특별시 노원구 상계동 735-6번지,37.6532766,127.0590564,편의점
서울특별시 노원구 상계동 651-4번지,37.666557,127.0569221,편의점
서울특별시 노원구 중계동 366-6번지 그랜드프라자 117호,37.6508596,127.0770963,패스트푸드
서울특별시 노원구 상계동 724번지,37.6543208,127.0621574,편의점
서울특별시 노원구 중계동 509-1번지 지하1층,37.6407489,127.0682363,패스트푸드
서울특별시 노원구 중계동 509-1번지 씨엔미 106호,37.6407489,127.0682363,패스트푸드
서울특별시 노원구 중계동 360-11번지 하나프라자 105호,37.6487645,127.0763385,커피숍
서울특별시 노원구 월계동 469-3번지 금혁빌딩 106호,37.6190666,127.0576031,커피숍
서울특별시 노원구 상계동 728-3번지 103호,37.6525437,127.0615355,패스트푸드
서울특별시 노원구 월계동 333-1번지,37.6273402,127.0618582,패스트푸드
서울특별시 노원구 월계동 55-7번지,37.6159655,127.0635077,패스트푸드
서울특별시 노원구 중계동 509번지 2001아울렛8층,37.6413039,127.0679877,패스트푸드
서울특별시 노원구 공릉동 441-152번지 1층,37.6277024,127.0775641,패스트푸드
서울특별시 노원구 공릉동 517-28,37.6235888,127.0743985,패스트푸드
서울특별시 노원구 중계동 364-24번지 오성프라자102호,37.6504487,127.0777705,커피숍
"서울특별시 노원구 중계동 360-6 중계중흥빌딩 1층 103호, 2층 203호",37.6504871,127.0759853,커피숍
서울특별시 노원구 하계동 284번지 5층,37.6378658,127.068707,커피숍
