지번주소,업태구분명,위도,경도
서울특별시 노원구 상계동 649-6 1층,패스트푸드,37.6653113,127.0579985
서울특별시 노원구 상계동 389-125,편의점,37.6612609,127.0706481
서울특별시 노원구 상계동 456-51번지,편의점,37.6641175,127.066333
서울특별시 노원구 상계동 669 1층,패스트푸드,37.6615829,127.0570969
서울특별시 노원구 월계동 50-29번지 1층,패스트푸드,37.6149069,127.0640514
서울특별시 노원구 상계동 617번지 1층,패스트푸드,37.6556813,127.0623264
서울특별시 노원구 상계동 763-2 장우빌딩 1층,패스트푸드,37.6483254,127.0620718
서울특별시 노원구 중계동 364-14 청암상가빌딩,패스트푸드,37.6481989,127.0784708
서울특별시 노원구 하계동 284 세이브존,패스트푸드,37.6378658,127.068707
"서울특별시 노원구 중계동 359-14 원광빌딩 1,2층",패스트푸드,37.6508704,127.0760059
서울특별시 노원구 월계동 285-13번지 현주프라자 1층,패스트푸드,37.6296546,127.0586337
서울특별시 노원구 중계동 509-0번지 (주)이천일아울렛지하1층,패스트푸드,37.6413039,127.0679877
서울특별시 노원구 공릉동 653-5번지,패스트푸드,37.619162,127.0788975
서울특별시 노원구 상계동 684-0,패스트푸드,37.6641181,127.0655654
서울특별시 노원구 상계동 599-0번지,커피숍,37.6559978,127.0628614
서울특별시 노원구 공릉동 126 서울여자대학교 1층 가은 학생누리관동,패스트푸드,37.6281126,127.0904568
서울특별시 노원구 중계동 517번지,패스트푸드,37.6472951,127.0702749
서울특별시 노원구 중계동 359-8번지,편의점,37.6521755,127.0771914
서울특별시 노원구 공릉동 633-15번지,편의점,37.6193465,127.0778318
서울특별시 노원구 상계동 735-6번지,편의점,37.6532766,127.0590564
서울특별시 노원구 상계동 651-4번지,편의점,37.666557,127.0569221
서울특별시 노원구 중계동 366-6번지 그랜드프라자 117호,패스트푸드,37.6508596,127.0770963
서울특별시 노원구 상계동 724번지,편의점,37.6543208,127.0621574
서울특별시 노원구 중계동 509-1번지 지하1층,패스트푸드,37.6407489,127.0682363
서울특별시 노원구 중계동 509-1번지 씨엔미 106호,패스트푸드,37.6407489,127.0682363
서울특별시 노원구 중계동 360-11번지 하나프라자 105호,커피숍,37.6487645,127.0763385
서울특별시 노원구 월계동 469-3번지 금혁빌딩 106호,커피숍,37.6190666,127.0576031
서울특별시 노원구 상계동 728-3번지 103호,패스트푸드,37.6525437,127.0615355
서울특별시 노원구 월계동 333-1번지,패스트푸드,37.6273402,127.0618582
서울특별시 노원구 월계동 55-7번지,패스트푸드,37.6159655,127.0635077
서울특별시 노원구 중계동 509번지 2001아울렛8층,패스트푸드,37.6413039,127.0679877
