"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3100000","3100000-104-1973-05429","19730907","","03","폐업","02","폐업","19990807","","","","02 9366698","83.44","139810","서울특별시 노원구 상계동 101-9번지 ","","","진","2001-09-29 00:00:00","I","2018-08-31 23:59:59.0","다방","206829.557809407    ","462716.282230145    ","다방","0","2","주택가주변","을","상수도전용","","","","","","","","","N","83.44","","",""
"3100000","3100000-104-1974-05406","19740924","","03","폐업","02","폐업","19990820","","","","02 9722217","145.85","139808","서울특별시 노원구 공릉동 661-1번지 ","","","황해","1999-09-15 00:00:00","I","2018-08-31 23:59:59.0","다방","206750.451392021    ","457401.979785618    ","다방","0","2","주택가주변","갑","상수도전용","","","","","","","","","N","145.85","","",""
"3100000","3100000-104-1978-05202","19781226","","03","폐업","02","폐업","20001211","","","","02 9728893","49.49","139240","서울특별시 노원구 공릉동 517-31번지 ","","","쎌레스테","2000-12-14 00:00:00","I","2018-08-31 23:59:59.0","과자점","206469.596994212    ","457893.222454748    ","과자점","1","1","주택가주변","갑","상수도전용","","","","","","","","","N","49.49","","",""
"3100000","3100000-104-1978-05413","19781020","","03","폐업","02","폐업","20070516","","","","02 9729433","152.63","139240","서울특별시 노원구 공릉동 517-31번지 ","","","길다방","2006-03-06 00:00:00","I","2018-08-31 23:59:59.0","다방","206469.596994212    ","457893.222454748    ","다방","0","3","주택가주변","갑","상수도전용","","","","","","","","","N","152.63","","",""
"3100000","3100000-104-1979-05376","19790511","","03","폐업","02","폐업","19940629","","","","0209722016","43.15","139808","서울특별시 노원구 공릉동 661-4번지 ","","","우성","1999-05-27 00:00:00","I","2018-08-31 23:59:59.0","다방","206760.872045568    ","457359.441328986    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","43.15","","",""
"3100000","3100000-104-1980-05197","19800715","","03","폐업","02","폐업","20000517","","","","02 9726482","40.22","139810","서울특별시 노원구 상계동 95-62번지 ","","","독일제과","2000-05-30 00:00:00","I","2018-08-31 23:59:59.0","과자점","206792.913617208    ","462586.351704765    ","과자점","1","1","주택가주변","자율","상수도전용","","","","","","","","","N","40.22","","",""
"3100000","3100000-104-1980-05423","19801231","","03","폐업","02","폐업","20071127","","","","02 9360022","99.78","139810","서울특별시 노원구 상계동 82-7번지 ","","","아리랑커피숍","2006-04-20 00:00:00","I","2018-08-31 23:59:59.0","다방","206669.157369958    ","462444.357932494    ","다방","0","2","주택가주변","을","상수도전용","","","","","","","","","N","99.78","","",""
"3100000","3100000-104-1980-05426","19800421","","03","폐업","02","폐업","20020611","","","","02 9725911","89.45","139810","서울특별시 노원구 상계동 95-256번지 ","","","상록수","1999-05-27 00:00:00","I","2018-08-31 23:59:59.0","다방","206807.0376766      ","462604.909285148    ","다방","0","3","주택가주변","을","상수도전용","","","","","","","","","N","89.45","","",""
"3100000","3100000-104-1981-05169","19810416","","03","폐업","02","폐업","20030619","","","","02 9735074","50.40","139240","서울특별시 노원구 공릉동 597-17번지 ","","","벨가??베이커리","2001-07-14 00:00:00","I","2018-08-31 23:59:59.0","과자점","206508.572523805    ","457512.040697156    ","과자점","0","0","주택가주변","기타","상수도전용","","","","","","","","","N","50.4","","",""
"3100000","3100000-104-1981-05390","19810519","","03","폐업","02","폐업","20011009","","","","02 9720581","63.38","139840","서울특별시 노원구 월계동 26-18번지 ","","","정다방","2001-10-10 00:00:00","I","2018-08-31 23:59:59.0","다방","205845.312151822    ","457018.943974424    ","다방","0","3","기타","을","상수도전용","","","","","","","","","N","63.38","","",""
