지역구,도로명주소,시설명,시설종류
노원구,서울특별시 노원구 유경데파트,중계미래탐구초등연재센터학원,학원
노원구,중계동,중계덕스어학원,학원
노원구,중계동,아발론랭콘중계어학원,학원
노원구,중계동,하이레벨수학전문학원,학원
노원구,중계동,소마사고력수학학원,학원
노원구,중계동,청담어학원,학원
노원구,중계동,중계스텔라어학원,학원
노원구,중계동,국풍2000학원,학원
노원구,중계동,올림피아드영재센터학원,학원
노원구,중계동,모멘텀아스트라학원,학원
노원구,중계동,알로곤영재센터학원,학원
노원구,중계동,하이레벨수학전문학원,학원
노원구,중계동,멘처스학원,학원
노원구,중계동,중계세일입시학원,학원
노원구,중계동,CMS중계중등영재2관학원,학원
노원구,중계동,수학에미친사람들중계관학원,학원
양천구,신월7동,잉글리쉬러닝베이(신월),학원
양천구,신정2동,잉글리쉬러닝베이(목동),학원
양천구,신월1동,리틀플래닛(명칭변경),학원
강서구,초록마을로40,눈높이런닝센터,학원
동작구,사당로16길 82,미래연미술,학원
동작구,사당로16길 90,튼튼영어,학원
동작구,동작대로 29길 77,동작시사,학원
동작구,대방동길 83,대방유투엠,학원
동작구,성대로 69,참음악,학원
관악구,행운동,큰솔아이들,학원
관악구,봉천동,청담에이프릴어학원,학원
관악구,봉천동,관악분원정상어학원,학원
관악구,미성동,앤플러스학원,학원
관악구,미성동,청맥보습학원,학원
관악구,난곡동,꿈이크는 보습학원,학원
관악구,난곡동,강남예일 보습학원,학원
관악구,난곡동,오름 보습학원,학원
강남구,대치동,강남최강학원,학원
강남구,대치동,새움학원,학원
강남구,대치동,시대인재15학원,학원
강남구,대치동,시대인재2관학원,학원
강남구,대치동,시대인재98학원,학원
강남구,대치동,시대인재99학원,학원
강남구,대치동,시대인재학원,학원
강남구,대치동,신어지은마학원,학원
강남구,대치동,씨앤씨미술학원,학원
강남구,대치동,프라임스템경원학원,학원
강남구,대치동,한티매쓰학원,학원
강남구,대치동,소마대치본원,학원
강남구,대치동,씨엔에이논술,학원
강남구,대치동,미래탐구학원,학원
강남구,대치동,짱솔학원,학원
강남구,대치동,파르테논어학원,학원
강동구,길동,예크트리,학원
강동구,암사동,오르다샘앤클래스암사,학원
