,노드링크 유형,시군구명,읍면동명,좌표
0,LINK,종로구,부암동,"126.9657085816752 37.59262760480967,126.96564652676456 37.59251227208203"
1,LINK,종로구,창신동,"127.01248914183903 37.57002641024621,127.01250062107401 37.56989825144273"
2,LINK,종로구,필운동,"126.96929248902234 37.575432558616114,126.96914767377812 37.57526307837782"
3,LINK,종로구,장사동,"126.99458763438037 37.56871226431096,126.99459651039425 37.568625190007836,126.99511390833929 37.568655806372284"
4,LINK,종로구,태평로1가,"126.9774587328279 37.569336587353035,126.9774587328279 37.569336587353035,126.97739286661215 37.569262674356054,126.97743826778778 37.56913388464742"
5,LINK,종로구,구기동,"126.9569675416504 37.60818837848575,126.957201162895 37.60831319123151"
6,LINK,종로구,평창동,"126.97392880574658 37.60936913900163,126.97403536087094 37.60919501427951"
7,NODE,종로구,팔판동,126.98037614278138 37.58130068769916
8,NODE,종로구,세종로,126.97697437694487 37.57537664938425
9,NODE,종로구,사간동,126.9797003980714 37.5760525661395
10,NODE,종로구,안국동,126.98435300374186 37.57615270428314
11,NODE,종로구,낙원동,126.98799832090205 37.572521574158834
12,NODE,종로구,재동,126.9850753220131 37.579339844919495
13,NODE,종로구,와룡동,126.9908390952804 37.57451956016121
14,NODE,종로구,세종로,126.97737650332448 37.57538849397236
15,NODE,종로구,관철동,126.98568598194656 37.56847728937382
16,NODE,종로구,사간동,126.97971220637552 37.5761231691954
17,NODE,종로구,묘동,126.9911171410876 37.573625301430326
18,NODE,종로구,원남동,126.99750129314162 37.57560435054533
19,NODE,종로구,묘동,126.9913152394009 37.57367003017221
20,LINK,종로구,세종로,"126.97944552294058 37.57817996591318,126.97969686549585 37.578172949309206"
21,LINK,종로구,혜화동,"127.00103580637881 37.585143243937914,127.00075855688831 37.585276102535246"
22,LINK,종로구,교북동,"126.96275070023832 37.56968268543851,126.96284773992284 37.569751265069684"
23,NODE,종로구,와룡동,126.99106084996167 37.57456664452484
24,NODE,종로구,인의동,126.99738750309939 37.57421409591198
25,NODE,종로구,인의동,126.99762995952584 37.57423057460676
26,NODE,종로구,원남동,126.99706662702856 37.575849090787024
27,NODE,종로구,인의동,126.99760935480802 37.571326516978225
28,NODE,종로구,인의동,126.99786658531508 37.57134299549324
29,NODE,종로구,동숭동,127.00239502098844 37.57862376274094
30,NODE,종로구,연건동,127.0020283059414 37.57639604805261
31,NODE,종로구,장사동,126.99530904107914 37.56867228788076
32,NODE,종로구,장사동,126.99530016618485 37.568754655495816
33,NODE,종로구,장사동,126.99458763438037 37.56871226431096
34,NODE,종로구,연건동,127.00245455466128 37.576035428935555
35,NODE,종로구,연건동,127.00188223483835 37.57600697015586
36,LINK,종로구,세종로,"126.97760596485328 37.56942745406111,126.9775971260595 37.56932390409511"
37,LINK,종로구,종로5가,"127.0054048484783 37.57113772076473,127.00577146657697 37.57114007585387"
38,NODE,종로구,연건동,127.00252908709288 37.57638180374086
39,NODE,종로구,연건동,127.00233233913158 37.57598561015185
40,NODE,종로구,인의동,126.99744370724643 37.573479846181236
41,NODE,종로구,인의동,126.99742005435999 37.57344454513741
42,NODE,종로구,종로3가,126.99226471603856 37.57025418079042
43,NODE,종로구,원남동,126.99725883203078 37.57559493169325
44,NODE,종로구,창신동,127.01881570552469 37.571104126050066
45,LINK,종로구,세종로,"126.97665672135568 37.56998501889175,126.9766064800825 37.56991676121769"
46,LINK,종로구,종로3가,"126.99194539028322 37.57033888075137,126.99192171124648 37.570578922854466"
47,NODE,종로구,장사동,126.99214950383426 37.56933400548407
48,LINK,종로구,숭인동,"127.02300953026126 37.57517750804523,127.0231020851847 37.5752557389155"
49,NODE,종로구,인의동,126.99743188665934 37.57329157643273
50,LINK,종로구,평창동,"126.97672539957671 37.61055110737472,126.97685266107736 37.61036521745592"
51,NODE,종로구,교북동,126.9629974587796 37.56985032749051
52,NODE,종로구,종로6가,127.00848434736756 37.572744392771725
53,NODE,종로구,도렴동,126.97464465921638 37.57402568282819
54,LINK,종로구,경운동,"126.9845156729356 37.57595268948932,126.98435300374186 37.57615270428314"
55,LINK,종로구,세종로,"126.97726873121093 37.57002279223688,126.97734560919262 37.570003980054736"
56,NODE,종로구,종로2가,126.98784767432197 37.57158017010569
57,NODE,종로구,인의동,126.99776898185851 37.57245143060327
58,NODE,종로구,숭인동,127.0190036746936 37.57120766079624
59,NODE,종로구,신문로2가,126.96950309683058 37.56833833673706
60,LINK,종로구,종로3가,"126.99204296962934 37.570242399203444,126.99226471603856 37.57025418079042"
61,LINK,종로구,팔판동,"126.98121292870115 37.58156145905971,126.98110350297014 37.581615568996384"
62,NODE,종로구,인의동,126.99752653093577 37.57244201229629
63,NODE,종로구,무악동,126.95568159799457 37.57683878306016
64,NODE,종로구,삼청동,126.98518330192773 37.58654997995615
65,LINK,종로구,종로3가,"126.99192171124648 37.570578922854466,126.99233564056405 37.570593070671535"
