,Unnamed: 0,도로명주소,업태구분명,좌표
1,1,서울특별시 광진구 뚝섬로 503 (자양동),다방,"37.5315073, 127.0805619"
4,4,"서울특별시 광진구 아차산로 399, 지하1층 (구의동)",다방,"37.538847, 127.0919729"
7,7,"서울특별시 광진구 강변역로 50, 동서울종합터미널 2층 (구의동)",다방,"37.5346195, 127.0941531"
8,8,서울특별시 광진구 뚝섬로 513 (자양동),커피숍,"37.5315073, 127.0805619"
14,14,서울특별시 광진구 뚝섬로 645 (자양동),다방,"37.5315073, 127.0805619"
17,17,서울특별시 광진구 능동로 216 (능동),일반조리판매,"37.55512, 127.07864"
22,22,"서울특별시 광진구 광나루로56길 85, 지상동 347호 (구의동,테크노마트지상3-47)",다방,"37.5349372, 127.0957088"
23,23,"서울특별시 광진구 광나루로56길 85, 5층 C096호 (구의동, 테크노마트)",다방,"37.5349372, 127.0957088"
24,24,"서울특별시 광진구 광나루로56길 85, 9층동 014호 (구의동,테크노마트)",커피숍,"37.5349372, 127.0957088"
25,25,"서울특별시 광진구 광나루로56길 85, 지하동 A006호 (구의동,테크노마트)",일반조리판매,"37.5349372, 127.0957088"
26,26,"서울특별시 광진구 광나루로56길 85, 10층 (구의동)",일반조리판매,"37.5349372, 127.0957088"
32,32,"서울특별시 광진구 광나루로56길 85, 2층동 D082호 (구의동,테크노마트)",패스트푸드,"37.5349372, 127.0957088"
33,33,"서울특별시 광진구 광나루로56길 85, 7층동 D082호 (구의동,테크노마트)",패스트푸드,"37.5349372, 127.0957088"
35,35,"서울특별시 광진구 광나루로56길 85, A023호 (구의동, 테크노마트 지하1층)",패스트푸드,"37.5349372, 127.0957088"
37,37,"서울특별시 광진구 광나루로56길 85, 9층동 041호 (구의동,테크노마트)",패스트푸드,"37.5349372, 127.0957088"
40,40,서울특별시 광진구 아차산로51길 62 (구의동),편의점,"37.5397366, 127.0849675"
48,48,서울특별시 광진구 뚝섬로 617 (자양동),편의점,"37.5315073, 127.0805619"
49,49,"서울특별시 광진구 천호대로 665, 1,2층 (구의동)",패스트푸드,"37.5534728, 127.0884141"
53,53,"서울특별시 광진구 광나루로56길 85, 10층 (구의동)",커피숍,"37.5349372, 127.0957088"
54,54,"서울특별시 광진구 아차산로 370, 1층 2호 (자양동)",일반조리판매,"37.538847, 127.0919729"
58,58,서울특별시 광진구 능동로 216 (능동),패스트푸드,"37.55512, 127.07864"
82,82,서울특별시 광진구 군자로 111 (군자동),패스트푸드,"37.5551426, 127.0759466"
86,86,"서울특별시 광진구 구의강변로 64, 1층 105호 (구의동, 구의아크로리버)",기타 휴게음식점,"37.5360055, 127.09280017241599"
93,93,"서울특별시 광진구 자양로28길 21, 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
98,98,"서울특별시 광진구 아차산로78길 72 (광장동,(101호))",편의점,"37.5512134, 127.11048207590466"
103,103,"서울특별시 광진구 자양로 113 (자양동,현대하이엘 103호)",일반조리판매,"37.537900699999994, 127.0830614590785"
110,110,"서울특별시 광진구 아차산로 471, 1층 (구의동)",커피숍,"37.538847, 127.0919729"
113,113,서울특별시 광진구 광나루로 416 (화양동),커피숍,"37.5479106, 127.0694072"
115,115,"서울특별시 광진구 광나루로56길 85, 지하2층 (구의동, 롯데마트내)",일반조리판매,"37.5349372, 127.0957088"
123,123,"서울특별시 광진구 능동로 120, C동 지하1층 102호 (화양동, 건대기숙사)",일반조리판매,"37.54184695, 127.07711486219412"
124,124,"서울특별시 광진구 광나루로 410, 104호 (화양동)",커피숍,"37.54006, 127.09724"
142,142,서울특별시 광진구 뚝섬로 630 (자양동),패스트푸드,"37.5315073, 127.0805619"
143,143,"서울특별시 광진구 아차산로 272, 1층 (자양동, 스타시티몰)",패스트푸드,"37.538418, 127.07323878135787"
154,154,"서울특별시 광진구 아차산로 262, 2층 (자양동, 스타시티 롯데시네마내)",커피숍,"37.538847, 127.0919729"
158,158,"서울특별시 광진구 아차산로 451, 지하1층 비1-2호 (구의동, 세림리오빌아파트)",패스트푸드,"37.538847, 127.0919729"
159,159,"서울특별시 광진구 능동로 120, 건국대학교 예술문화대학 지하1층 (화양동)",일반조리판매,"37.54184695, 127.07711486219412"
161,161,"서울특별시 광진구 아차산로 229, 1층 101,110호 (화양동)",커피숍,"37.538847, 127.0919729"
168,168,"서울특별시 광진구 광나루로56길 66, 103호 (구의동, 강변상가)",일반조리판매,"37.53781, 127.09669"
176,176,서울특별시 광진구 뚝섬로 480 (자양동),패스트푸드,"37.5315073, 127.0805619"
179,179,서울특별시 광진구 뚝섬로 606 (자양동),커피숍,"37.5315073, 127.0805619"
